Book,Line,Word,Text,Length,Foot
7,1,1,ὣς,long,1
7,1,2,εἰ,long,1
7,1,2,πὼν,long,2
7,1,3,πυ,long,2
7,1,3,λέων,long,3
7,1,4,ἐ,long,3
7,1,4,ξέ,long,4
7,1,4,σσυ,short,4
7,1,4,το,short,4
7,1,5,φαί,long,5
7,1,5,δι,short,5
7,1,5,μος,short,5
7,1,6,Ἕ,long,6
7,1,6,"κτωρ,",long,6
7,2,1,τῷ,long,1
7,2,2,δ’ἅμ’,short,1
7,2,3,Ἀ,short,1
7,2,3,λέ,long,2
7,2,3,ξα,long,2
7,2,3,νδρος,long,3
7,2,4,κί’,short,3
7,2,5,ἀ,short,3
7,2,5,δε,long,4
7,2,5,λφε,short,4
7,2,5,ός·,short,4
7,2,6,ἐν,long,5
7,2,7,δ’ἄ,short,5
7,2,7,ρα,short,5
7,2,8,θυ,long,6
7,2,8,μῷ,long,6
7,3,1,ἀ,long,1
7,3,1,μφό,short,1
7,3,1,τε,short,1
7,3,1,ροι,long,2
7,3,2,μέ,short,2
7,3,2,μα,short,2
7,3,2,σαν,long,3
7,3,3,πο,short,3
7,3,3,λε,short,3
7,3,3,μί,long,4
7,3,3,ζειν,long,4
7,3,4,ἠ,long,5
7,3,4,δὲ,short,5
7,3,5,μά,short,5
7,3,5,χε,long,6
7,3,5,σθαι.,long,6
7,4,1,ὡς,long,1
7,4,2,δὲ,short,1
7,4,3,θε,short,1
7,4,3,ὸς,long,2
7,4,4,ναύ,long,2
7,4,4,τῃ,long,3
7,4,4,σιν,short,3
7,4,5,ἐ,short,3
7,4,5,ε,long,4
7,4,5,λδο,short,4
7,4,5,μέ,short,4
7,4,5,νοι,long,5
7,4,5,σιν,short,5
7,4,6,ἔ,short,5
7,4,6,δω,long,6
7,4,6,κεν,long,6
7,5,1,οὖ,long,1
7,5,1,"ρον,",short,1
7,5,2,ἐ,short,1
7,5,2,πεί,long,2
7,5,3,κε,short,2
7,5,4,κά,short,2
7,5,4,μω,long,3
7,5,4,σιν,short,3
7,5,5,ἐ,short,3
7,5,5,ϋ,long,4
7,5,5,ξέ,long,4
7,5,5,στῃς,long,5
7,5,6,ἐ,short,5
7,5,6,λά,short,5
7,5,6,τῃ,long,6
7,5,6,σι,long,6
7,6,1,πό,long,1
7,6,1,ντον,short,1
7,6,2,ἐ,short,1
7,6,2,λαύ,long,2
7,6,2,νο,long,2
7,6,2,"ντες,",long,3
7,6,3,κα,short,3
7,6,3,μά,short,3
7,6,3,τῳ,long,4
7,6,4,δ’ὑ,short,4
7,6,4,πὸ,short,4
7,6,5,γυῖ,long,5
7,6,5,α,short,5
7,6,6,λέ,short,5
7,6,6,λυ,long,6
7,6,6,"νται,",long,6
7,7,1,ὣς,long,1
7,7,2,ἄ,short,1
7,7,2,ρα,short,1
7,7,3,τὼ,long,2
7,7,4,Τρώ,long,2
7,7,4,ε,long,3
7,7,4,σσιν,short,3
7,7,5,ἐ,short,3
7,7,5,ε,long,4
7,7,5,λδο,short,4
7,7,5,μέ,short,4
7,7,5,νοι,long,5
7,7,5,σι,short,5
7,7,6,φα,short,5
7,7,6,νή,long,6
7,7,6,την.,long,6
7,8,1,ἔνθ’,long,1
7,8,2,ἑ,short,1
7,8,2,λέ,short,1
7,8,2,την,long,2
7,8,3,ὃ,short,2
7,8,4,μὲν,short,2
7,8,5,υἱ,long,3
7,8,5,ὸν,short,3
7,8,6,Ἀ,short,3
7,8,6,ρη,long,4
