Title,Book,Line,Text
Od,1,1,ἄνδρα μοι ἔννεπε μοῦσα πολύτροπον ὃς μάλα πολλὰ
Od,1,2,πλάγχθη ἐπεὶ Τροίης ἱερὸν πτολίεθρον ἔπερσεν
Od,1,3,πολλῶν δ’ἀνθρώπων ἴδεν ἄστεα καὶ νόον ἔγνω
Od,1,4,πολλὰ δ’ὅ γ’ἐν πόντῳ πάθεν ἄλγεα ὃν κατὰ θυμόν
Od,1,5,ἀρνύμενος ἥν τε ψυχὴν καὶ νόστον ἑταίρων
Od,1,6,ἀλλ’ οὐδ’ ὣς ἑτάρους ἐρρύσατο ἱέμενός περ
Od,1,7,αὐτῶν γὰρ σφετέρῃσιν ἀτασθαλίῃσιν ὄλοντο
Od,1,8,νήπιοι οἳ κατὰ βοῦς Ὑπερίονος Ἠελίοιο
Od,1,9,ἤσθιον αὐτὰρ ὁ τοῖσιν ἀφείλετο νόστιμον ἦμαρ
Od,1,10,τῶν ἁμόθεν γε θεά θύγατερ Διός εἰπὲ καὶ ἡμῖν
Od,1,11,ἔνθ’ ἄλλοι μὲν πάντες ὅσοι φύγον αἰπὺν ὄλεθρον
Od,1,12,οἴκοι ἔσαν πόλεμόν τε πεφευγότες ἠδὲ θάλασσαν
Od,1,13,τὸν δ’οἶον νόστου κεχρημένον ἠδὲ γυναικὸς
Od,1,14,νύμφη πότνι’ ἔρυκε Καλυψὼ δῖα θεάων
Od,1,15,ἐν σπέσσι γλαφυροῖσι λιλαιομένη πόσιν εἶναι
Od,1,16,ἀλλ’ ὅτε δὴ ἔτος ἦλθε περιπλομένων ἐνιαυτῶν
Od,1,17,τῷ οἱ ἐπεκλώσαντο θεοὶ οἶκόνδε νέεσθαι
Od,1,18,εἰς Ἰθάκην οὐδ’ ἔνθα πεφυγμένος ἦεν ἀέθλων
Od,1,19,καὶ μετὰ οἷσι φίλοισι θεοὶ δ’ἐλέαιρον ἅπαντες
Od,1,20,νόσφι Ποσειδάωνος ὁ δ’ἀσπερχὲς μενέαινεν
Od,1,21,ἀντιθέῳ Ὀδυσῆι πάρος ἣν γαῖαν ἱκέσθαι
Od,1,22,ἀλλ’ ὁ μὲν Αἰθίοπας μετεκίαθε τηλόθ’ ἐόντας
Od,1,23,Αἰθίοπας τοὶ διχθὰ δεδαίαται ἔσχατοι ἀνδρῶν
Od,1,24,οἱ μὲν δυσομένου Ὑπερίονος οἱ δ’ἀνιόντος
Od,1,25,ἀντιόων ταύρων τε καὶ ἀρνειῶν ἑκατόμβης
Od,1,26,ἔνθ’ ὅ γ’ἐτέρπετο δαιτὶ παρήμενος οἱ δὲ δὴ ἄλλοι
Od,1,27,Ζηνὸς ἐνὶ μεγάροισιν Ὀλυμπίου ἁθρόοι ἦσαν
Od,1,28,τοῖσι δὲ μύθων ἦρχε πατὴρ ἀνδρῶν τε θεῶν τε
Od,1,29,μνήσατο γὰρ κατὰ θυμὸν ἀμύμονος Αἰγίσθοιο
Od,1,30,τόν ῥ’Ἀγαμεμνονίδης τηλεκλυτὸς ἔκταν’ Ὀρέστης
Od,1,31,τοῦ ὅ γ’ἐπιμνησθεὶς ἔπε’ ἀθανάτοισι μετηύδα
Od,1,32,ὢ πόποι οἷον δή νυ θεοὺς βροτοὶ αἰτιόωνται
Od,1,33,ἐξ ἡμέων γάρ φασι κάκ’ ἔμμεναι οἱ δὲ καὶ αὐτοὶ
Od,1,34,σφῇσιν ἀτασθαλίῃσιν ὑπὲρ μόρον ἄλγε’ ἔχουσιν
Od,1,35,ὡς καὶ νῦν Αἴγισθος ὑπὲρ μόρον Ἀτρεΐδαο
Od,1,36,γῆμ’ ἄλοχον μνηστήν τὸν δ’ἔκτανε νοστήσαντα
Od,1,37,εἰδὼς αἰπὺν ὄλεθρον ἐπεὶ πρό οἱ εἴπομεν ἡμεῖς
Od,1,38,Ἑρμείαν πέμψαντες ἐύσκοπον ἀργεϊφόντην
Od,1,39,μήτ’ αὐτὸν κτείνειν μήτε μνάασθαι ἄκοιτιν
Od,1,40,ἐκ γὰρ Ὀρέσταο τίσις ἔσσεται Ἀτρεΐδαο
Od,1,41,ὁππότ’ ἂν ἡβήσῃ τε καὶ ἧς ἱμείρεται αἴης
Od,1,42,ὣς ἔφαθ’ Ἑρμείας ἀλλ’ οὐ φρένας Αἰγίσθοιο
Od,1,43,πεῖθ’ ἀγαθὰ φρονέων νῦν δ’ἁθρόα πάντ’ ἀπέτισεν
Od,1,44,τὸν δ’ἠμείβετ’ ἔπειτα θεά γλαυκῶπις Ἀθήνη
Od,1,45,ὦ πάτερ ἡμέτερε Κρονίδη ὕπατε κρειόντων
Od,1,46,καὶ λίην κεῖνός γε ἐοικότι κεῖται ὀλέθρῳ
Od,1,47,ὡς ἀπόλοιτο καὶ ἄλλος ὅτις τοιαῦτά γε ῥέζοι
Od,1,48,ἀλλά μοι ἀμφ’ Ὀδυσῆι δαΐφρονι δαίεται ἦτορ
Od,1,49,δυσμόρῳ ὃς δὴ δηθὰ φίλων ἄπο πήματα πάσχει
Od,1,50,νήσῳ ἐν ἀμφιρύτῃ ὅθι τ’ὀμφαλός ἐστι θαλάσσης
Od,1,51,νῆσος δενδρήεσσα θεὰ δ’ἐν δώματα ναίει
Od,1,52,Ἄτλαντος θυγάτηρ ὀλοόφρονος ὅς τε θαλάσσης
Od,1,53,πάσης βένθεα οἶδεν ἔχει δέ τε κίονας αὐτὸς
Od,1,54,μακράς αἳ γαῖάν τε καὶ οὐρανὸν ἀμφὶς ἔχουσιν
Od,1,55,τοῦ θυγάτηρ δύστηνον ὀδυρόμενον κατερύκει
Od,1,56,αἰεὶ δὲ μαλακοῖσι καὶ αἱμυλίοισι λόγοισιν
Od,1,57,θέλγει ὅπως Ἰθάκης ἐπιλήσεται αὐτὰρ Ὀδυσσεύς
Od,1,58,ἱέμενος καὶ καπνὸν ἀποθρᾐσκοντα νοῆσαι
Od,1,59,ἧς γαίης θανέειν ἱμείρεται οὐδέ νυ σοί περ
Od,1,60,ἐντρέπεται φίλον ἦτορ Ὀλύμπιε οὔ νύ τ’Ὀδυσσεὺς
Od,1,61,Ἀργείων παρὰ νηυσὶ χαρίζετο ἱερὰ ῥέζων
Od,1,62,Τροίῃ ἐν εὐρείῃ; τί νύ οἱ τόσον ὠδύσαο Ζεῦ;
Od,1,63,τὴν δ’ἀπαμειβόμενος προσέφη νεφεληγερέτα Ζεύς
Od,1,64,τέκνον ἐμόν ποῖόν σε ἔπος φύγεν ἕρκος ὀδόντων
Od,1,65,πῶς ἂν ἔπειτ’ Ὀδυσῆος ἐγὼ θείοιο λαθοίμην
Od,1,66,ὃς περὶ μὲν νόον ἐστὶ βροτῶν περὶ δ’ἱρὰ θεοῖσιν
Od,1,67,ἀθανάτοισιν ἔδωκε τοὶ οὐρανὸν εὐρὺν ἔχουσιν;
Od,1,68,ἀλλὰ Ποσειδάων γαιήοχος ἀσκελὲς αἰεὶ
Od,1,69,Κύκλωπος κεχόλωται ὃν ὀφθαλμοῦ ἀλάωσεν
Od,1,70,ἀντίθεον Πολύφημον ὅου κράτος ἐστὶ μέγιστον
Od,1,71,πᾶσιν Κυκλώπεσσι Θόωσα δέ μιν τέκε νύμφη
Od,1,72,Φόρκυνος θυγάτηρ ἁλὸς ἀτρυγέτοιο μέδοντος
Od,1,73,ἐν σπέσσι γλαφυροῖσι Ποσειδάωνι μιγεῖσα
Od,1,74,ἐκ τοῦ δὴ Ὀδυσῆα Ποσειδάων ἐνοσίχθων
Od,1,75,οὔ τι κατακτείνει πλάζει δ’ἀπὸ πατρίδος αἴης
Od,1,76,ἀλλ’ ἄγεθ’ ἡμεῖς οἵδε περιφραζώμεθα πάντες
Od,1,77,νόστον ὅπως ἔλθῃσι Ποσειδάων δὲ μεθήσει
Od,1,78,ὃν χόλον οὐ μὲν γὰρ τι δυνήσεται ἀντία πάντων
