"Source","Book","2 Words","3 Words","4 Words","5 Words","6 Words","7 Words"
Il,1,1221,364,94,67,29,35
Il,2,1409,584,126,65,34,31
Il,3,827,363,62,47,15,29
Il,4,989,414,81,56,23,24
Il,5,1641,712,123,68,26,24
Il,6,969,421,59,31,12,15
Il,7,943,446,109,62,26,37
Il,8,1108,562,114,56,22,19
Il,9,1241,579,106,57,32,35
Il,10,1107,535,84,38,21,16
Il,11,1561,737,127,70,31,36
Il,12,770,326,39,19,7,5
Il,13,1564,704,114,77,29,36
Il,14,960,436,102,58,26,29
Il,15,1352,635,112,63,21,35
Il,16,1576,715,138,84,30,46
Il,17,1438,645,119,66,22,34
Il,18,1087,506,71,45,16,20
Il,19,827,379,53,38,10,19
Il,20,871,388,60,29,7,11
Il,21,1045,476,75,46,16,26
Il,22,952,440,72,47,15,25
Il,23,1492,636,115,61,25,31
Il,24,1543,704,120,72,24,24
Od,1,869,478,109,105,38,69
Od,2,843,504,99,57,26,26
Od,3,964,450,95,71,30,33
Od,4,1632,780,186,147,48,90
Od,5,951,472,98,86,26,47
Od,6,572,296,34,19,8,4
Od,7,637,325,62,61,20,36
Od,8,1043,501,101,79,32,49
Od,9,1035,476,92,102,31,90
Od,10,1105,592,126,123,31,84
Od,11,1224,548,130,76,25,39
Od,12,735,392,73,62,18,42
Od,13,860,445,94,54,22,21
Od,14,951,488,73,42,14,19
Od,15,1083,581,123,106,35,65
Od,16,1004,499,133,100,40,67
Od,17,1173,640,133,111,33,65
Od,18,824,434,103,70,28,43
Od,19,1169,635,135,104,40,48
Od,20,724,385,69,44,15,17
Od,21,820,442,81,70,19,40
Od,22,876,447,84,67,16,28
Od,23,737,399,77,53,16,27
Od,24,1050,566,119,77,27,39
