Source,Book,FormulaCount
Il,1,1352
Il,2,1554
Il,3,946
Il,4,1080
Il,5,1778
Il,6,1043
Il,7,1249
Il,8,1324
Il,9,1495
Il,10,1258
Il,11,1698
Il,12,814
Il,13,1650
Il,14,1121
Il,15,1550
Il,16,1678
Il,17,1680
Il,18,1142
Il,19,914
Il,20,991
Il,21,1141
Il,22,1088
Il,23,1701
Il,24,1840
Od,1,1139
Od,2,1040
Od,3,1100
Od,4,2058
Od,5,1235
Od,6,653
Od,7,807
Od,8,1248
Od,9,1163
Od,10,1386
Od,11,1463
Od,12,934
Od,13,1061
Od,14,1098
Od,15,1446
Od,16,1253
Od,17,1485
Od,18,1034
Od,19,1423
Od,20,905
Od,21,982
Od,22,1072
Od,23,890
Od,24,1323
