Formula,Book,Line,Word Number,Word Count,Source,ID
Πηληϊάδεω Ἀχιλῆος,1,1,3,2,Il,1
Πηληϊάδεω Ἀχιλῆος,1,322,2,2,Il,2
Πηληϊάδεω Ἀχιλῆος,9,166,3,2,Il,3
Πηληϊάδεω Ἀχιλῆος,16,269,2,2,Il,4
Πηληϊάδεω Ἀχιλῆος,16,653,3,2,Il,5
Πηληϊάδεω Ἀχιλῆος,24,406,4,2,Il,6
Πηληϊάδεω Ἀχιλῆος,11,467,3,2,Od,7
Πηληϊάδεω Ἀχιλῆος,24,15,3,2,Od,8
ἐξ οὗ,1,6,0,2,Il,9
ἐξ οὗ,8,295,2,2,Il,10
ἐξ οὗ,13,778,0,2,Il,11
ἐξ οὗ,21,196,0,2,Il,12
ἐξ οὗ,24,638,0,2,Il,13
ἐξ οὗ,24,766,0,2,Il,14
ἐξ οὗ,2,27,0,2,Od,15
ἐξ οὗ,2,90,0,2,Od,16
ἐξ οὗ,8,539,0,2,Od,17
ἐξ οὗ,11,168,0,2,Od,18
ἐξ οὗ,14,379,0,2,Od,19
ἐξ οὗ,16,142,2,2,Od,20
ἐξ οὗ,17,103,4,2,Od,21
ἐξ οὗ,18,181,1,2,Od,22
ἐξ οὗ,19,223,0,2,Od,23
ἐξ οὗ,19,596,4,2,Od,24
ἐξ οὗ,21,303,0,2,Od,25
ἐξ οὗ,23,18,5,2,Od,26
ἐξ οὗ,24,310,0,2,Od,27
τὰ πρῶτα,1,6,3,2,Il,28
τὰ πρῶτα,6,489,6,2,Il,29
τὰ πρῶτα,12,420,4,2,Il,30
τὰ πρῶτα,13,679,3,2,Il,31
τὰ πρῶτα,17,612,2,2,Il,32
τὰ πρῶτα,23,275,3,2,Il,33
τὰ πρῶτα,23,523,2,2,Il,34
τὰ πρῶτα,23,538,2,2,Il,35
τὰ πρῶτα,8,553,6,2,Od,36
ἄναξ ἀνδρῶν,1,7,2,2,Il,37
ἄναξ ἀνδρῶν,1,172,3,2,Il,38
ἄναξ ἀνδρῶν,1,442,4,2,Il,39
ἄναξ ἀνδρῶν,1,506,5,2,Il,40
ἄναξ ἀνδρῶν,2,402,4,2,Il,41
ἄναξ ἀνδρῶν,2,434,2,2,Il,42
ἄναξ ἀνδρῶν,2,441,4,2,Il,43
ἄναξ ἀνδρῶν,2,612,4,2,Il,44
ἄναξ ἀνδρῶν,3,81,4,2,Il,45
ἄναξ ἀνδρῶν,3,267,3,2,Il,46
ἄναξ ἀνδρῶν,3,455,4,2,Il,47
ἄναξ ἀνδρῶν,4,148,3,2,Il,48
ἄναξ ἀνδρῶν,4,255,4,2,Il,49
ἄναξ ἀνδρῶν,4,336,4,2,Il,50
ἄναξ ἀνδρῶν,5,38,3,2,Il,51
ἄναξ ἀνδρῶν,5,268,3,2,Il,52
ἄναξ ἀνδρῶν,5,311,5,2,Il,53
ἄναξ ἀνδρῶν,6,33,3,2,Il,54
ἄναξ ἀνδρῶν,7,162,4,2,Il,55
ἄναξ ἀνδρῶν,7,314,4,2,Il,56
ἄναξ ἀνδρῶν,8,278,4,2,Il,57
ἄναξ ἀνδρῶν,9,96,2,2,Il,58
ἄναξ ἀνδρῶν,9,114,3,2,Il,59
ἄναξ ἀνδρῶν,9,163,2,2,Il,60
ἄναξ ἀνδρῶν,9,668,2,2,Il,61
ἄναξ ἀνδρῶν,9,673,2,2,Il,62
ἄναξ ἀνδρῶν,9,693,2,2,Il,63
ἄναξ ἀνδρῶν,10,64,3,2,Il,64
ἄναξ ἀνδρῶν,10,86,3,2,Il,65
