"Source","Book","ϝInFormula","ϝOutsideFormula","ϝTotal","ϝInFormula%","ϝOutsideFormula%","InFormulaTotal","InFormula%","OutsideFormula%","SyllableTotal"
Il,"1",233,125,358,65.0838,34.9162,6021,62.2905,37.7095,9666
Il,"2",291,164,455,63.9560,36.0440,7786,57.0403,42.9597,13650
Il,"3",173,83,256,67.5781,32.4219,4535,62.7248,37.2752,7230
Il,"4",199,89,288,69.0972,30.9028,5229,61.3588,38.6412,8522
Il,"5",294,153,447,65.7718,34.2282,8694,60.8185,39.1815,14295
Il,"6",188,97,285,65.9649,34.0351,5135,61.6595,38.3405,8328
Il,"7",191,58,249,76.7068,23.2932,4985,66.0265,33.9735,7550
Il,"8",203,79,282,71.9858,28.0142,5897,67.1105,32.8895,8787
Il,"9",260,141,401,64.8379,35.1621,6706,60.3275,39.6725,11116
Il,"10",178,102,280,63.5714,36.4286,5636,61.9409,38.0591,9099
Il,"11",289,131,420,68.8095,31.1905,8299,62.2581,37.7419,13330
Il,"12",136,67,203,66.9951,33.0049,4266,57.9856,42.0144,7357
Il,"13",276,152,428,64.4860,35.5140,8289,62.6483,37.3517,13231
Il,"14",159,102,261,60.9195,39.0805,5033,61.4755,38.5245,8187
Il,"15",282,103,385,73.2468,26.7532,7358,62.7762,37.2238,11721
Il,"16",240,140,380,63.1579,36.8421,8445,61.9180,38.0820,13639
Il,"17",258,123,381,67.7165,32.2835,7479,62.4343,37.5657,11979
Il,"18",201,96,297,67.6768,32.3232,5835,60.0556,39.9444,9716
Il,"19",138,54,192,71.8750,28.1250,4295,64.2003,35.7997,6690
Il,"20",172,75,247,69.6356,30.3644,4711,59.5199,40.4801,7915
Il,"21",208,110,318,65.4088,34.5912,5751,59.2154,40.7846,9712
Il,"22",167,95,262,63.7405,36.2595,4931,60.5997,39.4003,8137
Il,"23",276,182,458,60.2620,39.7380,7890,55.9019,44.0981,14114
Il,"24",306,131,437,70.0229,29.9771,7825,61.7942,38.2058,12663
Il,BooksTotaled,5318,2652,7970,66.7252,33.2748,151031,61.2369,38.7631,246634
Od,"1",163,72,235,69.3617,30.6383,4627,66.5755,33.4245,6950
Od,"2",195,56,251,77.6892,22.3108,4509,66.2406,33.7594,6807
Od,"3",163,70,233,69.9571,30.0429,4988,63.8668,36.1332,7810
Od,"4",288,133,421,68.4086,31.5914,8606,64.5902,35.4098,13324
Od,"5",167,71,238,70.1681,29.8319,4783,61.7879,38.2121,7741
Od,"6",115,58,173,66.4740,33.5260,3045,58.6931,41.3069,5188
Od,"7",119,45,164,72.5610,27.4390,3364,61.5441,38.4559,5466
Od,"8",162,91,253,64.0316,35.9684,5568,60.6272,39.3728,9184
Od,"9",151,78,229,65.9389,34.0611,5426,61.2139,38.7861,8864
Od,"10",179,73,252,71.0317,28.9683,5834,64.5354,35.4646,9040
Od,"11",223,84,307,72.6384,27.3616,6340,63.0846,36.9154,10050
Od,"12",128,70,198,64.6465,35.3535,4132,58.3946,41.6054,7076
Od,"13",146,52,198,73.7374,26.2626,4410,64.0523,35.9477,6885
Od,"14",176,111,287,61.3240,38.6760,5070,60.7258,39.2742,8349
Od,"15",197,71,268,73.5075,26.4925,5698,65.2991,34.7009,8726
Od,"16",177,61,238,74.3697,25.6303,5133,68.2036,31.7964,7526
Od,"17",196,84,280,70.0000,30.0000,6288,66.4132,33.5868,9468
Od,"18",147,52,199,73.8693,26.1307,4353,64.7961,35.2039,6718
Od,"19",236,94,330,71.5152,28.4848,5935,62.4408,37.5592,9505
Od,"20",111,59,170,65.2941,34.7059,3844,62.3116,37.6884,6169
Od,"21",127,71,198,64.1414,35.8586,4387,64.7337,35.2663,6777
Od,"22",140,76,216,64.8148,35.1852,4699,59.5262,40.4738,7894
Od,"23",132,45,177,74.5763,25.4237,3855,66.1916,33.8084,5824
Od,"24",200,82,282,70.9220,29.0780,5587,65.0483,34.9517,8589
Od,BooksTotaled,4038,1759,5797,69.6567,30.3433,120481,63.4344,36.5656,189930
IlAndOdTotaled,,9356,4411,13767,67.9596,32.0404,271512,62.1929,37.8071,436564
