Book,Line,Word,Text,Length
17,1,1,οὐδ’,long
17,1,2,ἔ,short
17,1,2,λαθ’,short
17,1,3,Ἀ,long
17,1,3,τρέ,short
17,1,3,ος,short
17,1,4,υἱ,long
17,1,4,ὸν,short
17,1,5,ἀ,short
17,1,5,ρη,long
17,1,5,ΐ,short
17,1,5,φι,short
17,1,5,λον,long
17,1,6,Με,short
17,1,6,νέ,short
17,1,6,λα,long
17,1,6,ον,long
17,2,1,Πά,long
17,2,1,τρο,long
17,2,1,κλος,long
17,2,2,Τρώ,long
17,2,2,ε,long
17,2,2,σσι,short
17,2,3,δα,short
17,2,3,μεὶς,long
17,2,4,ἐν,long
17,2,5,δη,long
17,2,5,ϊ,short
17,2,5,ο,short
17,2,5,τῆ,long
17,2,5,τι.,long
17,3,1,βῆ,long
17,3,2,δὲ,short
17,3,3,δι,short
17,3,3,ὰ,long
17,3,4,προ,short
17,3,4,μά,short
17,3,4,χων,long
17,3,5,κε,short
17,3,5,κο,short
17,3,5,ρυ,long
17,3,5,θμέ,short
17,3,5,νος,short
17,3,6,αἴ,long
17,3,6,θο,short
17,3,6,πι,short
17,3,7,χα,long
17,3,7,"λκῷ,",long
17,4,1,ἀ,long
17,4,1,μφὶ,short
17,4,2,δ’ἄρ’,short
17,4,3,αὐ,long
17,4,3,τῷ,long
17,4,4,βαῖν’,long
17,4,5,ὥς,long
17,4,6,τις,long
17,4,7,πε,short
17,4,7,ρὶ,short
17,4,8,πό,long
17,4,8,ρτα,short
17,4,8,κι,short
17,4,9,μή,long
17,4,9,τηρ,long
17,5,1,πρω,long
17,5,1,το,short
17,5,1,τό,short
17,5,1,κος,long
17,5,2,κι,short
17,5,2,νυ,short
17,5,2,ρὴ,long
17,5,3,οὐ,long
17,5,4,πρὶν,long
17,5,5,εἰ,long
17,5,5,δυῖ,long
17,5,5,α,short
17,5,6,τό,short
17,5,6,κοι,long
17,5,6,ο·,long
17,6,1,ὣς,long
17,6,2,πε,short
17,6,2,ρὶ,short
17,6,3,Πα,long
17,6,3,τρό,long
17,6,3,κλῳ,long
17,6,4,βαῖ,long
17,6,4,νε,long
17,6,5,ξα,long
17,6,5,νθὸς,long
17,6,6,Με,short
17,6,6,νέ,short
17,6,6,λα,long
17,6,6,ος.,long
17,7,1,πρό,long
17,7,1,σθε,short
17,7,2,δέ,short
17,7,3,οἱ,long
17,7,4,δό,short
17,7,4,ρυ,short
17,7,5,τ’ἔ,long
17,7,5,σχε,short
17,7,6,καὶ,short
17,7,7,ἀ,long
17,7,7,σπί,short
17,7,7,δα,short
17,7,8,πά,long
17,7,8,ντοσ’,short
17,7,9,ἐ,short
17,7,9,ΐ,long
17,7,9,"σην,",long
17,8,1,τὸν,long
17,8,2,κτά,short
17,8,2,με,short
17,8,2,ναι,long
17,8,3,με,short
17,8,3,μα,short
17,8,3,ὼς,long
17,8,4,ὅς,long
17,8,5,τις,long
17,8,6,τοῦ,long
17,8,7,γ’ἀ,long
17,8,7,ντί,short
17,8,7,ος,short
17,8,8,ἔ,long
17,8,8,λθοι.,long
17,9,1,οὐδ’,long
17,9,2,ἄ,short
17,9,2,ρα,short
17,9,3,Πά,long
17,9,3,νθου,long
17,9,4,υἱ,long
17,9,4,ὸς,short
17,9,5,ἐ,short
17,9,5,ϋ,long
17,9,5,μμε,short
17,9,5,λί,short
17,9,5,ης,long
17,9,6,ἀ,short
17,9,6,μέ,short
17,9,6,λη,long
17,9,6,σε,long
17,10,1,Πα,long
17,10,1,τρό,long
17,10,1,κλοι,long
17,10,1,ο,short
17,10,2,πε,short
17,10,2,σό,long
17,10,2,ντος,short
17,10,3,ἀ,short
17,10,3,μύ,long
17,10,3,μο,short
17,10,3,νος·,short
17,10,4,ἄ,long
17,10,4,γχι,short
17,10,5,δ’ἄρ’,short
17,10,6,αὐ,long
17,10,6,τοῦ,long
17,11,1,ἔ,long
17,11,1,"στη,",long
17,11,2,καὶ,long
17,11,3,προ,short
17,11,3,σέ,short
17,11,3,ει,long
17,11,3,πεν,short
17,11,4,ἀ,short
17,11,4,ρη,long
17,11,4,ΐ,short
17,11,4,φι,short
17,11,4,λον,long
17,11,5,Με,short
17,11,5,νέ,short
17,11,5,λα,long
17,11,5,ον·,long
17,12,1,Ἀ,long
17,12,1,τρε,short
17,12,1,ΐ,short
17,12,1,δη,long
17,12,2,Με,short
17,12,2,νέ,short
17,12,2,λα,long
17,12,2,ε,short
17,12,3,δι,short
17,12,3,ο,long
17,12,3,τρε,short
17,12,3,φὲς,short
17,12,4,ὄ,long
17,12,4,ρχα,short
17,12,4,με,short
17,12,5,λα,long
17,12,5,ῶν,long
17,13,1,χά,long
17,13,1,ζε,short
17,13,1,"ο,",short
17,13,2,λεῖ,long
17,13,2,πε,short
17,13,3,δὲ,short
17,13,4,νε,long
17,13,4,"κρόν,",short
17,13,5,ἔ,short
17,13,5,α,long
17,13,6,δ’ἔ,short
17,13,6,να,short
17,13,6,ρα,long
17,13,7,βρο,short
17,13,7,τό,short
17,13,7,ε,long
17,13,7,ντα·,long
17,14,1,οὐ,long
17,14,2,γάρ,long
17,14,3,τις,long
17,14,4,πρό,short
17,14,4,τε,short
17,14,4,ρος,long
17,14,5,Τρώ,long
17,14,5,ων,long
17,14,6,κλει,long
17,14,6,τῶν,long
17,14,7,τ’ἐ,short
17,14,7,πι,short
17,14,7,κού,long
17,14,7,ρων,long
17,15,1,Πά,long
17,15,1,τρο,long
17,15,1,κλον,long
17,15,2,βά,short
17,15,2,λε,short
17,15,3,δου,long
17,15,3,ρὶ,short
17,15,4,κα,short
17,15,4,τὰ,long
17,15,5,κρα,short
17,15,5,τε,short
17,15,5,ρὴν,long
17,15,6,ὑ,long
17,15,6,σμί,long
17,15,6,νην·,long
17,16,1,τώ,long
17,16,2,με,short
17,16,3,ἔ,short
17,16,3,α,long
17,16,4,κλέ,short
17,16,4,ος,short
17,16,5,ἐ,long
17,16,5,σθλὸν,short
17,16,6,ἐ,short
17,16,6,νὶ,long
17,16,7,Τρώ,long
17,16,7,ε,long
17,16,7,σσιν,short
17,16,8,ἀ,short
17,16,8,ρέ,long
17,16,8,"σθαι,",long
17,17,1,μή,long
17,17,2,σε,short
17,17,3,βά,short
17,17,3,"λω,",long
17,17,4,ἀ,short
17,17,4,πὸ,short
17,17,5,δὲ,long
17,17,6,με,short
17,17,6,λι,short
17,17,6,η,long
17,17,6,δέ,short
17,17,6,α,short
17,17,7,θυ,long
17,17,7,μὸν,short
17,17,8,ἕ,short
17,17,8,λω,long
17,17,8,μαι.,long
17,18,1,τὸν,long
17,18,2,δὲ,short
17,18,3,μέγ’,short
17,18,4,ὀ,long
17,18,4,χθή,long
17,18,4,σας,long
17,18,5,προ,short
17,18,5,σέ,short
17,18,5,φη,long
17,18,6,ξα,long
17,18,6,νθὸς,long
17,18,7,Με,short
17,18,7,νέ,short
17,18,7,λα,long
17,18,7,ος·,long
17,19,1,Ζεῦ,long
17,19,2,πά,short
17,19,2,τερ,short
17,19,3,οὐ,long
17,19,4,μὲν,long
17,19,5,κα,long
17,19,5,λὸν,short
17,19,6,ὑ,short
17,19,6,πέ,long
17,19,6,ρβι,short
17,19,6,ον,short
17,19,7,εὐ,long
17,19,7,χε,short
17,19,7,τά,short
17,19,7,α,long
17,19,7,σθαι.,long
17,20,1,οὔτ’,long
17,20,2,οὖν,long
17,20,3,πα,long
17,20,3,ρδά,short
17,20,3,λι,short
17,20,3,ος,long
17,20,4,τό,long
17,20,4,σσον,long
17,20,5,μέ,short
17,20,5,νος,short
17,20,6,οὔ,long
17,20,6,τε,short
17,20,7,λέ,short
17,20,7,ο,long
17,20,7,ντος,long
17,21,1,οὔ,long
17,21,1,τε,short
17,21,2,συ,short
17,21,2,ὸς,long
17,21,3,κά,long
17,21,3,πρου,long
17,21,4,ὀ,short
17,21,4,λο,short
17,21,4,ό,long
17,21,4,φρο,short
17,21,4,"νος,",short
17,21,5,οὗ,long
17,21,6,τε,short
17,21,7,μέ,short
17,21,7,γι,long
17,21,7,στος,long
17,22,1,θυ,long
17,22,1,μὸς,short
17,22,2,ἐ,short
17,22,2,νὶ,long
17,22,3,στή,long
17,22,3,θε,long
17,22,3,σσι,short
17,22,4,πε,short
17,22,4,ρὶ,long
17,22,5,σθέ,short
17,22,5,νε,short
17,22,5,ϊ,long
17,22,6,βλε,short
17,22,6,με,short
17,22,6,αί,long
17,22,6,"νει,",long
17,23,1,ὅ,long
17,23,1,σσον,long
17,23,2,Πά,long
17,23,2,νθου,long
17,23,3,υἷ,long
17,23,3,ες,short
17,23,4,ἐ,short
17,23,4,ϋ,long
17,23,4,μμε,short
17,23,4,λί,short
17,23,4,αι,long
17,23,5,φρο,short
17,23,5,νέ,short
17,23,5,ου,long
17,23,5,σιν.,long
17,24,1,οὐ,long
17,24,1,δὲ,short
17,24,2,μὲν,short
17,24,3,οὐ,long
17,24,3,δὲ,short
17,24,4,βί,short
17,24,4,η,long
17,24,5,Ὑ,short
17,24,5,πε,short
17,24,5,ρή,long
17,24,5,νο,short
17,24,5,ρος,short
17,24,6,ἱ,long
17,24,6,ππο,short
17,24,6,δά,short
17,24,6,μοι,long
17,24,6,ο,long
17,25,1,ἧς,long
17,25,2,ἥ,long
17,25,2,βης,long
17,25,3,ἀ,short
17,25,3,πό,short
17,25,3,"νηθ’,",long
17,25,4,ὅ,short
17,25,4,τε,short
17,25,5,μ’ὤ,long
17,25,5,να,short
17,25,5,το,short
17,25,6,καί,long
17,25,7,μ’ὑ,short
17,25,7,πέ,short
17,25,7,μει,long
17,25,7,νε,long
17,26,1,καί,long
17,26,2,μ’ἔ,short
17,26,2,φατ’,short
17,26,3,ἐν,long
17,26,4,Δα,short
17,26,4,να,short
17,26,4,οῖ,long
17,26,4,σιν,short
17,26,5,ἐ,short
17,26,5,λέ,long
17,26,5,γχι,long
17,26,5,στον,long
17,26,6,πο,short
17,26,6,λε,short
17,26,6,μι,long
17,26,6,στὴν,long
17,27,1,ἔ,long
17,27,1,μμε,short
17,27,1,ναι·,short
17,27,2,οὐ,long
17,27,2,δέ,short
17,27,3,ἕ,short
17,27,4,φη,long
17,27,4,μι,short
17,27,5,πό,short
17,27,5,δε,long
17,27,5,σσί,short
17,27,6,γε,short
17,27,7,οἷ,long
17,27,7,σι,short
17,27,8,κι,short
17,27,8,ό,long
17,27,8,ντα,long
17,28,1,εὐ,long
17,28,1,φρῆ,long
17,28,1,ναι,long
17,28,2,ἄ,short
17,28,2,λο,short
17,28,2,χόν,long
17,28,3,τε,short
17,28,4,φί,short
17,28,4,λην,long
17,28,5,κε,long
17,28,5,δνούς,long
17,28,6,τε,short
17,28,7,το,short
17,28,7,κῆ,long
17,28,7,ας.,long
17,29,1,ὥς,long
17,29,2,θην,long
17,29,3,καὶ,long
17,29,4,σὸν,short
17,29,5,ἐ,short
17,29,5,γὼ,long
17,29,6,λύ,long
17,29,6,σω,long
17,29,7,μέ,short
17,29,7,νος,short
17,29,8,εἴ,long
17,29,9,κέ,short
17,29,10,μευ,short
17,29,11,ἄ,long
17,29,11,ντα,long
17,30,1,στή,long
17,30,1,ῃς·,long
17,30,2,ἀ,long
17,30,2,λλά,short
17,30,3,σ’ἔ,short
17,30,3,γωγ’,long
17,30,4,ἀ,short
17,30,4,να,short
17,30,4,χω,long
17,30,4,ρή,long
17,30,4,σα,long
17,30,4,ντα,short
17,30,5,κε,short
17,30,5,λεύ,long
17,30,5,ω,long
17,31,1,ἐς,long
17,31,2,πλη,long
17,31,2,θὺν,long
17,31,3,ἰ,short
17,31,3,έ,short
17,31,3,"ναι,",long
17,31,4,μηδ’,long
17,31,5,ἀ,long
17,31,5,ντί,short
17,31,5,ος,short
17,31,6,ἵ,long
17,31,6,στασ’,short
17,31,7,ἐ,short
17,31,7,μεῖ,long
17,31,7,ο,long
17,32,1,πρίν,long
17,32,2,τι,short
17,32,3,κα,short
17,32,3,κὸν,long
17,32,4,πα,short
17,32,4,θέ,short
17,32,4,ειν·,long
17,32,5,ῥε,long
17,32,5,χθὲν,long
17,32,6,δέ,short
17,32,7,τε,short
17,32,8,νή,long
17,32,8,πι,short
17,32,8,ος,short
17,32,9,ἔ,long
17,32,9,γνω.,long
17,33,1,ὣς,long
17,33,2,φά,short
17,33,2,"το,",short
17,33,3,τὸν,long
17,33,4,δ’οὐ,long
17,33,5,πεῖ,long
17,33,5,θεν·,short
17,33,6,ἀ,short
17,33,6,μει,long
17,33,6,βό,short
17,33,6,με,short
17,33,6,νος,long
17,33,7,δὲ,short
17,33,8,προ,short
17,33,8,σηύ,long
17,33,8,δα·,long
17,34,1,νῦν,long
17,34,2,μὲν,long
17,34,3,δὴ,long
17,34,4,Με,short
17,34,4,νέ,short
17,34,4,λα,long
17,34,4,ε,short
17,34,5,δι,short
17,34,5,ο,long
17,34,5,τρε,short
17,34,5,φὲς,short
17,34,6,ἦ,long
17,34,7,μά,short
17,34,7,λα,short
17,34,8,τεί,long
17,34,8,σεις,long
17,35,1,γνω,long
17,35,1,τὸν,short
17,35,2,ἐ,short
17,35,2,μὸν,long
17,35,3,τὸν,short
17,35,4,ἔ,short
17,35,4,πε,long
17,35,4,"φνες,",short
17,35,5,ἐ,short
17,35,5,πευ,long
17,35,5,χό,short
17,35,5,με,short
17,35,5,νος,long
17,35,6,δ’ἀ,short
17,35,6,γο,short
17,35,6,ρεύ,long
17,35,6,"εις,",long
17,36,1,χή,long
17,36,1,ρω,long
17,36,1,σας,long
17,36,2,δὲ,short
17,36,3,γυ,short
17,36,3,ναῖ,long
17,36,3,κα,short
17,36,4,μυ,short
17,36,4,χῷ,long
17,36,5,θα,short
17,36,5,λά,short
17,36,5,μοι,long
17,36,5,ο,short
17,36,6,νέ,short
17,36,6,οι,long
17,36,6,"ο,",long
17,37,1,ἀ,long
17,37,1,ρη,long
17,37,1,τὸν,long
17,37,2,δὲ,short
17,37,3,το,short
17,37,3,κεῦ,long
17,37,3,σι,short
17,37,4,γό,short
17,37,4,ον,long
17,37,5,καὶ,long
17,37,6,πέ,long
17,37,6,νθος,short
17,37,7,ἔ,short
17,37,7,θη,long
17,37,7,κας.,long
17,38,1,ἦ,long
17,38,2,κέ,long
17,38,3,σφιν,long
17,38,4,δει,long
17,38,4,λοῖ,long
17,38,4,σι,short
17,38,5,γό,short
17,38,5,ου,long
17,38,6,κα,short
17,38,6,τά,short
17,38,6,παυ,long
17,38,6,μα,short
17,38,7,γε,short
17,38,7,νοί,long
17,38,7,μην,long
17,39,1,εἴ,long
17,39,2,κεν,short
17,39,3,ἐ,short
17,39,3,γὼ,long
17,39,4,κε,short
17,39,4,φα,short
17,39,4,λήν,long
17,39,5,τε,short
17,39,6,τε,short
17,39,6,ὴν,long
17,39,7,καὶ,long
17,39,8,τεύ,long
17,39,8,χε’,short
17,39,9,ἐ,short
17,39,9,νεί,long
17,39,9,κας,long
17,40,1,Πά,long
17,40,1,νθῳ,long
17,40,2,ἐν,long
17,40,3,χεί,long
17,40,3,ρε,long
17,40,3,σσι,short
17,40,4,βά,short
17,40,4,λω,long
17,40,5,καὶ,long
17,40,6,Φρό,long
17,40,6,ντι,short
17,40,6,δι,short
17,40,7,δί,long
17,40,7,ῃ.,long
17,41,1,ἀλλ’,long
17,41,2,οὐ,long
17,41,3,μὰν,long
17,41,4,ἔ,short
17,41,4,τι,short
17,41,5,δη,long
17,41,5,ρὸν,short
17,41,6,ἀ,short
17,41,6,πεί,long
17,41,6,ρη,long
17,41,6,τος,long
17,41,7,πό,short
17,41,7,νος,short
17,41,8,ἔ,long
17,41,8,σται,long
17,42,1,οὐδ’,long
17,42,2,ἔτ’,short
17,42,3,ἀ,short
17,42,3,δή,long
17,42,3,ρι,long
17,42,3,τος,long
17,42,4,ἤτ’,long
17,42,5,ἀ,long
17,42,5,λκῆς,long
17,42,6,ἤ,long
17,42,6,τε,short
17,42,7,φό,short
17,42,7,βοι,long
17,42,7,ο.,long
17,43,1,ὣς,long
17,43,2,εἰ,long
17,43,2,πὼν,long
17,43,3,οὔ,long
17,43,3,τη,long
17,43,3,σε,short
17,43,4,κατ’,short
17,43,5,ἀ,long
17,43,5,σπί,short
17,43,5,δα,short
17,43,6,πά,long
17,43,6,ντοσ’,short
17,43,7,ἐ,short
17,43,7,ΐ,long
17,43,7,σην·,long
17,44,1,οὐδ’,long
17,44,2,ἔ,long
17,44,2,ρρη,long
17,44,2,ξεν,long
17,44,3,χα,long
17,44,3,"λκός,",short
17,44,4,ἀ,short
17,44,4,νε,long
17,44,4,γνάμ,long
17,44,4,φθη,long
17,44,5,δέ,short
17,44,6,οἱ,short
17,44,7,αἰ,long
17,44,7,χμὴ,long
17,45,1,ἀ,long
17,45,1,σπίδ’,short
17,45,2,ἐ,short
17,45,2,νὶ,long
17,45,3,κρα,short
17,45,3,τε,short
17,45,3,ρῇ·,long
17,45,4,ὃ,short
17,45,5,δὲ,short
17,45,6,δεύ,long
17,45,6,τε,short
17,45,6,ρος,short
17,45,7,ὄ,long
17,45,7,ρνυ,short
17,45,7,το,short
17,45,8,χα,long
17,45,8,λκῷ,long
17,46,1,Ἀ,long
17,46,1,τρε,short
17,46,1,ΐ,short
17,46,1,δης,long
17,46,2,Με,short
17,46,2,νέ,short
17,46,2,λα,long
17,46,2,ος,short
17,46,3,ἐ,short
17,46,3,πευ,long
17,46,3,ξά,short
17,46,3,με,short
17,46,3,νος,long
17,46,4,Δι,short
17,46,4,ὶ,short
17,46,5,πα,long
17,46,5,τρί·,long
17,47,1,ἂψ,long
17,47,2,δ’ἀ,short
17,47,2,να,short
17,47,2,χα,long
17,47,2,ζο,short
17,47,2,μέ,short
17,47,2,νοι,long
17,47,2,ο,short
17,47,3,κα,short
17,47,3,τὰ,long
17,47,4,στο,short
17,47,4,μά,short
17,47,4,χοι,long
17,47,4,ο,short
17,47,5,θέ,short
17,47,5,με,long
17,47,5,θλα,long
17,48,1,"νύξ’,",long
17,48,2,ἐ,short
17,48,2,πὶ,short
17,48,3,δ’αὐ,long
17,48,3,τὸς,short
17,48,4,ἔ,short
17,48,4,ρει,long
17,48,4,σε,short
17,48,5,βα,short
17,48,5,ρεί,long
17,48,5,ῃ,long
17,48,6,χει,long
17,48,6,ρὶ,short
17,48,7,πι,short
17,48,7,θή,long
17,48,7,σας·,long
17,49,1,ἀ,long
17,49,1,ντι,long
17,49,1,κρὺ,long
17,49,2,δ’ἁ,short
17,49,2,πα,short
17,49,2,λοῖ,long
17,49,2,ο,short
17,49,3,δι’,short
17,49,4,αὐ,long
17,49,4,χέ,short
17,49,4,νος,short
17,49,5,ἤ,long
17,49,5,λυθ’,short
17,49,6,ἀ,short
17,49,6,κω,long
17,49,6,"κή,",long
17,50,1,δού,long
17,50,1,πη,long
17,50,1,σεν,long
17,50,2,δὲ,short
17,50,3,πε,short
17,50,3,"σών,",long
17,50,4,ἀ,short
17,50,4,ρά,short
17,50,4,βη,long
17,50,4,σε,short
17,50,5,δὲ,short
17,50,6,τεύ,long
17,50,6,χε’,short
17,50,7,ἐπ’,short
17,50,8,αὐ,long
17,50,8,τῷ.,long
17,51,1,αἵ,long
17,51,1,μα,short
17,51,1,τί,short
17,51,2,οἱ,long
17,51,3,δεύ,long
17,51,3,ο,long
17,51,3,ντο,short
17,51,4,κό,short
17,51,4,μαι,long
17,51,5,Χα,short
17,51,5,ρί,short
17,51,5,τε,long
17,51,5,σσιν,short
17,51,6,ὁ,short
17,51,6,μοῖ,long
17,51,6,αι,long
17,52,1,πλο,long
17,52,1,χμοί,long
17,52,2,"θ’,οἳ",long
17,52,3,χρυ,long
17,52,3,σῷ,long
17,52,4,τε,short
17,52,5,καὶ,short
17,52,6,ἀ,long
17,52,6,ργύ,short
17,52,6,ρῳ,short
17,52,7,ἐ,long
17,52,7,σφή,long
17,52,7,κω,long
17,52,7,ντο.,long
17,53,1,οἷ,long
17,53,1,ον,long
17,53,2,δὲ,long
17,53,3,τρέ,short
17,53,3,φει,short
17,53,4,ἔ,long
17,53,4,ρνος,short
17,53,5,ἀ,short
17,53,5,νὴρ,long
17,53,6,ἐ,short
17,53,6,ρι,short
17,53,6,θη,long
17,53,6,λὲς,short
17,53,7,ἐ,short
17,53,7,λαί,long
17,53,7,ης,long
17,54,1,χώ,long
17,54,1,ρῳ,short
17,54,2,ἐν,short
17,54,3,οἰ,long
17,54,3,ο,short
17,54,3,πό,short
17,54,3,"λῳ,",long
17,54,4,ὅθ’,short
17,54,5,ἅ,short
17,54,5,λις,long
17,54,6,ἀ,short
17,54,6,να,short
17,54,6,βέ,long
17,54,6,βρο,short
17,54,6,χεν,short
17,54,7,ὕ,long
17,54,7,"δωρ,",long
17,55,1,κα,long
17,55,1,λὸν,long
17,55,2,τη,long
17,55,2,λε,short
17,55,2,θά,short
17,55,2,ον·,long
17,55,3,τὸ,short
17,55,4,δέ,short
17,55,5,τε,long
17,55,6,πνοι,long
17,55,6,αὶ,long
17,55,7,δο,short
17,55,7,νέ,short
17,55,7,ου,long
17,55,7,σι,long
17,56,1,πα,long
17,56,1,ντοί,long
17,56,1,ων,long
17,56,2,ἀ,short
17,56,2,νέ,short
17,56,2,"μων,",long
17,56,3,καί,long
17,56,4,τε,long
17,56,5,βρύ,short
17,56,5,ει,short
17,56,6,ἄ,long
17,56,6,νθε,short
17,56,6,ϊ,short
17,56,7,λευ,long
17,56,7,κῷ·,long
17,57,1,ἐ,long
17,57,1,λθὼν,long
17,57,2,δ’ἐ,long
17,57,2,ξα,short
17,57,2,πί,short
17,57,2,νης,long
17,57,3,ἄ,short
17,57,3,νε,short
17,57,3,μος,long
17,57,4,σὺν,long
17,57,5,λαί,long
17,57,5,λα,short
17,57,5,πι,short
17,57,6,πο,long
17,57,6,λλῇ,long
17,58,1,βό,long
17,58,1,θρου,long
17,58,2,τ’ἐ,long
17,58,2,ξέ,long
17,58,2,στρε,long
17,58,2,ψε,short
17,58,3,καὶ,short
17,58,4,ἐ,long
17,58,4,ξε,short
17,58,4,τά,short
17,58,4,νυσσ’,long
17,58,5,ἐ,short
17,58,5,πὶ,short
17,58,6,γαί,long
17,58,6,ῃ·,long
17,59,1,τοῖ,long
17,59,1,ον,long
17,59,2,Πά,long
17,59,2,νθου,long
17,59,3,υἱ,long
17,59,3,ὸν,short
17,59,4,ἐ,short
17,59,4,ϋ,long
17,59,4,μμε,short
17,59,4,λί,short
17,59,4,ην,long
17,59,5,Εὔ,long
17,59,5,φο,long
17,59,5,ρβον,long
17,60,1,Ἀ,long
17,60,1,τρε,short
17,60,1,ΐ,short
17,60,1,δης,long
17,60,2,Με,short
17,60,2,νέ,short
17,60,2,λα,long
17,60,2,ος,short
17,60,3,ἐ,short
17,60,3,πεὶ,long
17,60,4,κτά,short
17,60,4,νε,short
17,60,5,τεύ,long
17,60,5,χε’,short
17,60,6,ἐ,short
17,60,6,σύ,long
17,60,6,λα.,long
17,61,1,ὡς,long
17,61,2,δ’ὅ,short
17,61,2,τε,short
17,61,3,τίς,long
17,61,4,τε,short
17,61,5,λέ,short
17,61,5,ων,long
17,61,6,ὀ,short
17,61,6,ρε,short
17,61,6,σί,long
17,61,6,τρο,short
17,61,6,φος,short
17,61,7,ἀ,long
17,61,7,λκὶ,short
17,61,8,πε,short
17,61,8,ποι,long
17,61,8,θὼς,long
17,62,1,βο,long
17,62,1,σκο,short
17,62,1,μέ,short
17,62,1,νης,long
17,62,2,ἀ,short
17,62,2,γέ,short
17,62,2,λης,long
17,62,3,βοῦν,long
17,62,4,ἁ,long
17,62,4,ρπά,short
17,62,4,σῃ,short
17,62,5,ἥ,long
17,62,6,τις,short
17,62,7,ἀ,short
17,62,7,ρί,long
17,62,7,στη·,long
17,63,1,τῆς,long
17,63,2,δ’ἐξ,long
17,63,3,αὐ,long
17,63,3,χέν’,short
17,63,4,ἔ,short
17,63,4,α,long
17,63,4,ξε,short
17,63,5,λα,short
17,63,5,βὼν,long
17,63,6,κρα,short
17,63,6,τε,short
17,63,6,ροῖ,long
17,63,6,σιν,short
17,63,7,ὀ,short
17,63,7,δοῦ,long
17,63,7,σι,long
17,64,1,πρῶ,long
17,64,1,"τον,",short
17,64,2,ἔ,short
17,64,2,πει,long
17,64,2,τα,short
17,64,3,δέ,short
17,64,4,θ’αἷ,long
17,64,4,μα,short
17,64,5,καὶ,short
17,64,6,ἔ,long
17,64,6,γκα,short
17,64,6,τα,short
17,64,7,πά,long
17,64,7,ντα,short
17,64,8,λα,short
17,64,8,φύ,long
17,64,8,σσει,long
17,65,1,δῃ,long
17,65,1,ῶν·,long
17,65,2,ἀ,long
17,65,2,μφὶ,short
17,65,3,δὲ,short
17,65,4,τόν,long
17,65,5,γε,short
17,65,6,κύ,short
17,65,6,νες,long
17,65,7,τ’ἄ,long
17,65,7,νδρές,long
17,65,8,τε,short
17,65,9,νο,short
17,65,9,μῆ,long
17,65,9,ες,long
17,66,1,πο,long
17,66,1,λλὰ,short
17,66,2,μάλ’,short
17,66,3,ἰ,long
17,66,3,ύ,long
17,66,3,ζου,long
17,66,3,σιν,short
17,66,4,ἀ,short
17,66,4,πό,long
17,66,4,προ,short
17,66,4,θεν,short
17,66,5,οὐδ’,long
17,66,6,ἐ,short
17,66,6,θέ,short
17,66,6,λου,long
17,66,6,σιν,long
17,67,1,ἀ,long
17,67,1,ντί,short
17,67,1,ον,short
17,67,2,ἐ,long
17,67,2,λθέ,short
17,67,2,με,short
17,67,2,ναι·,long
17,67,3,μά,short
17,67,3,λα,short
17,67,4,γὰρ,long
17,67,5,χλω,long
17,67,5,ρὸν,long
17,67,6,δέ,short
17,67,6,ος,short
17,67,7,αἱ,long
17,67,7,ρεῖ·,long
17,68,1,ὣς,long
17,68,2,τῶν,long
17,68,3,οὔ,long
17,68,4,τι,short
17,68,4,νι,short
17,68,5,θυ,long
17,68,5,μὸς,short
17,68,6,ἐ,short
17,68,6,νὶ,long
17,68,7,στή,long
17,68,7,θε,long
17,68,7,σσιν,short
17,68,8,ἐ,short
17,68,8,τό,long
17,68,8,λμα,long
