guessed,last
10010001100020012,ς
100110001110012,ε
111010012112,ν
111110010010012,ν
1110000010010011,η
11121001110012,ε
11100111100011,ς
1110010010010011,ι
1110010010010011,ς
10010010010010011,ι
10010110000112,α
1110010000010011,ν
10010020010010012,α
100111001020112,ς
1020111110010011,ς
110001001110011,ν
11102121100011,ι
1110110010010012,ς
111001000110011,ι
1001010010010011,ι
1001001001000112,α
11111001110011,ι
1110010220012012,α
112120010010011,ω
10010010010000012,ε
1001110010010011,ω
11101210010012,α
10211111110012,ο
10210211110012,ν
1002001201110011,ς
10010012010010012,ν
10010010010010011,ι
1000110012010011,ω
1001000002110011,ς
1001001001100012,ς
111001001010011,ω
102100110110012,ς
1110010010000011,ς
1210010010010012,α
1110010000010012,α
11111001110011,ρ
1110020020010012,ν
1001001120010011,ν
100111001110011,ρ
111001110000011,ν
11101201110012,ο
110110010010011,ς
10010010010000012,ε
112110010010012,ο
111110010010011,ς
1001110000010011,ς
111001001110011,ι
1110010010010012,ο
10010010010000011,ς
1002001000110011,η
1001001001110012,ο
1021110010010012,ο
10010010010010011,ς
1110100111011,ω
100111110010012,ν
1201001000110011,ς
10010010010020012,α
1201001110010012,ν
1120010010010011,ν
1001110010210011,ς
1111101110011,ν
1021000100010011,ι
1201110010010011,η
111001110010012,ς
1110010010020012,α
11111001100011,ω
1001001110010011,ν
1010010010010012,ν
1001001000000111,ι
1001100010000012,ς
10010010010012012,ν
11121001110011,ν
1010210010010011,ν
11100121112011,ι
1110010010210012,ι
111001021110011,η
10010010010020011,η
1110010020210011,ς
10010010010010011,ς
1110010020000012,α
1000110000010012,ν
10010010020000011,ς
1001112010010012,ο
111001001110011,ι
111001110010011,ς
111001001110211,ι
100111021010011,ν
1001110010210011,ς
100011001010011,ν
10000020210010012,α
10010010010010011,ι
10210010010010011,ι
10020010020010011,ν
10010010010010011,ν
1010010010010012,ν
1201110010010011,η
1121112110011,ν
10010010020010011,ι
111001001001011,ν
112110010010012,ε
100111001210012,ς
111001002001111,ι
111002100010012,ς
1010010020010011,ς
1110010010010011,ι
100111010020012,α
1001112010010211,ν
120111201110012,α
10010020220010011,ν
1001001110010012,α
10210010010010012,ν
100101110220011,ι
10010010010020212,ς
1110010020210012,ε
10010010010010211,η
111001001100011,ς
111010010010011,ν
111110010002011,ι
100211010010012,α
1001001120010011,ι
1110010010010011,ν
1001110020010011,ι
112210010010011,ς
100111110010011,ι
1001001002110011,ν
1110010010010011,υ
10020210010210011,ς
1001210010010011,ς
1110010010010011,ι
111110010002011,ι
111000001110011,ι
1001110010010011,ι
1002110010020012,ς
12010010010210011,ι
111110020010212,ς
10010010010010012,ν
10000010010010011,ν
100111010010012,ν
1001001001110011,ω
11020001100011,ς
10011111120011,ν
1100010010200012,ς
10020010010010011,ς
1201110010010012,ν
11121001112011,ν
1001002210000011,ι
100211001001111,ν
10010000210210212,ν
111001110010011,ς
1001020010010011,η
1001110210010012,υ
1001001001001112,α
10210010010020011,ς
111001000110012,α
111110020210011,ς
111001001112011,ς
10010010010210011,ν
1110000010010011,ι
11111110010012,ν
10011100110012,ο
10010010010010011,ι
10010010010010012,ε
10010010010010011,ν
111010210010012,ν
100111001001011,ω
1000001001110011,ν
111001001110011,ν
1001100010210012,ε
10210010010010211,ι
1000110010010011,ς
1110210020010011,ν
1112010010010012,ε
1001001001110012,ν
100111001110012,ι
