Book,Line,Word,Text,Length,Foot
2,1,1,Ἄ,long,1
2,1,1,λλοι,long,1
2,1,2,μέν,long,2
2,1,3,ῥα,short,2
2,1,4,θε,short,2
2,1,4,οί,long,3
2,1,5,τε,short,3
2,1,6,καὶ,short,3
2,1,7,ἀ,long,4
2,1,7,νέ,short,4
2,1,7,ρες,short,4
2,1,8,ἱ,long,5
2,1,8,ππο,short,5
2,1,8,κο,short,5
2,1,8,ρυ,long,6
2,1,8,σταὶ,long,6
2,2,1,εὗ,long,1
2,2,1,δον,long,1
2,2,2,πα,long,2
2,2,2,ννύ,short,2
2,2,2,χι,short,2
2,2,2,"οι,",long,3
2,2,3,Δί,short,3
2,2,3,α,short,3
2,2,4,δ’οὐκ,long,4
2,2,5,ἔ,short,4
2,2,5,χε,short,4
2,2,6,νή,long,5
2,2,6,δυ,short,5
2,2,6,μος,short,5
2,2,7,ὕ,long,6
2,2,7,"πνος,",long,6
2,3,1,ἀλλ’,long,1
2,3,2,ὅ,short,1
2,3,3,γε,short,1
2,3,4,με,long,2
2,3,4,ρμή,long,2
2,3,4,ρι,long,3
2,3,4,ζε,short,3
2,3,5,κα,short,3
2,3,5,τὰ,long,4
2,3,6,φρέ,short,4
2,3,6,να,short,4
2,3,7,ὡς,long,5
2,3,8,Ἀ,short,5
2,3,8,χι,short,5
2,3,8,λῆ,long,6
2,3,8,α,long,6
2,4,1,τι,long,1
2,4,1,μή,long,1
2,4,1,"σῃ,",long,2
2,4,2,ὀ,short,2
2,4,2,λέ,short,2
2,4,2,σῃ,long,3
2,4,3,δὲ,short,3
2,4,4,πο,short,3
2,4,4,λέας,long,4
2,4,5,ἐ,short,4
2,4,5,πὶ,short,4
2,4,6,νηυ,long,5
2,4,6,σὶν,short,5
2,4,7,Ἀ,short,5
2,4,7,χαι,long,6
2,4,7,ῶν.,long,6
2,5,1,Ἥ,long,1
2,5,1,δε,short,1
2,5,2,δέ,short,1
2,5,3,οἱ,long,2
2,5,4,κα,short,2
2,5,4,τὰ,short,2
2,5,5,θυ,long,3
2,5,5,μὸν,short,3
2,5,6,ἀ,short,3
2,5,6,ρί,long,4
2,5,6,στη,long,4
2,5,7,φαί,long,5
2,5,7,νε,short,5
2,5,7,το,short,5
2,5,8,βου,long,6
2,5,8,"λή,",long,6
2,6,1,πέ,long,1
2,6,1,μψαι,short,1
2,6,2,ἐπ’,short,1
2,6,3,Ἀ,long,2
2,6,3,τρε,short,2
2,6,3,ΐ,short,2
2,6,3,δῃ,long,3
2,6,4,Ἀ,short,3
2,6,4,γα,short,3
2,6,4,μέ,long,4
2,6,4,μνο,short,4
2,6,4,νι,short,4
2,6,5,οὖ,long,5
2,6,5,λον,short,5
2,6,6,ὄ,short,5
2,6,6,νει,long,6
2,6,6,ρον·,long,6
2,7,1,καί,long,1
2,7,2,μιν,long,1
