Book,Line,Word,Text,Length,Foot
5,1,1,ἠ,long,1
5,1,1,ὼς,long,1
5,1,2,δ’ἐκ,long,2
5,1,3,λεχ,short,2
5,1,3,έ,short,2
5,1,3,ων,long,3
5,1,4,παρ’,short,3
5,1,5,ἀγ,short,3
5,1,5,αυ,long,4
5,1,5,οῦ,long,4
5,1,6,Τιθ,long,5
5,1,6,ων,long,5
5,1,6,οῖ,long,6
5,1,6,ο,long,6
5,2,1,ὤρν,long,1
5,2,1,"υθ’,",short,1
5,2,2,ἵν’,short,1
5,2,3,ἀθ,long,2
5,2,3,αν,short,2
5,2,3,άτ,short,2
5,2,3,οισ,long,3
5,2,3,ι,short,3
5,2,4,φό,short,3
5,2,4,ως,long,4
5,2,5,φέρ,short,4
5,2,5,οι,short,4
5,2,6,ἠδ,long,5
5,2,6,ὲ,short,5
5,2,7,βροτ,short,5
5,2,7,οῖσ,long,6
5,2,7,ιν·,long,6
5,3,1,οἱ,long,1
5,3,2,δὲ,short,1
5,3,3,θε,short,1
5,3,3,οὶ,long,2
5,3,4,θῶκ,long,2
5,3,4,όνδ,long,3
5,3,4,ε,short,3
5,3,5,καθ,short,3
5,3,5,ίζ,long,4
5,3,5,αν,short,4
5,3,5,"ον,",short,4
5,3,6,ἐν,long,5
5,3,7,δ’ἄρ,short,5
5,3,7,α,short,5
5,3,8,τοῖσ,long,6
5,3,8,ι,long,6
5,4,1,Ζεὺς,long,1
5,4,2,ὑψ,long,1
5,4,2,ιβρ,long,2
5,4,2,εμ,short,2
5,4,2,έτ,short,2
5,4,2,"ης,",long,3
5,4,3,οὗ,long,3
5,4,4,τε,long,4
5,4,5,κράτ,short,4
5,4,5,ος,short,4
5,4,6,ἐστ,long,5
5,4,6,ὶ,short,5
5,4,7,μέγ,short,5
5,4,7,ιστ,long,6
5,4,7,ον.,long,6
5,5,1,τοῖσ,long,1
5,5,1,ι,short,1
5,5,2,δ’Ἀθ,short,1
5,5,2,ην,long,2
5,5,2,αί,long,2
5,5,2,η,long,3
5,5,3,λέγ,short,3
5,5,3,ε,short,3
5,5,4,κήδ,long,4
5,5,4,ε,short,4
5,5,4,α,short,4
5,5,5,πόλλ’,long,5
5,5,6,Ὀδ,short,5
5,5,6,υσ,short,5
5,5,6,ῆ,long,6
5,5,6,ος,long,6
