Title,Book,Line,Text
Il,1,1,μῆνιν ἄειδε θεὰ Πηληϊάδεω Ἀχιλῆος
Il,1,2,οὐλομένην ἣ μυρί’ Ἀχαιοῖς ἄλγε’ ἔθηκε
Il,1,3,πολλὰς δ’ἰφθίμους ψυχὰς Ἄϊδι προΐαψεν
Il,1,4,ἡρώων αὐτοὺς δὲ ἑλώρια τεῦχε κύνεσσιν
Il,1,5,οἰωνοῖσί τε πᾶσι Διὸς δ’ἐτελείετο βουλή
Il,1,6,ἐξ οὗ δὴ τὰ πρῶτα διαστήτην ἐρίσαντε
Il,1,7,Ἀτρεΐδης τε ἄναξ ἀνδρῶν καὶ δῖος Ἀχιλλεύς
Il,1,8,τίς τ’ἄρ σφωε θεῶν ἔριδι ξυνέηκε μάχεσθαι;
Il,1,9,Λητοῦς καὶ Διὸς υἱός ὃ γὰρ βασιλῆϊ χολωθεὶς
Il,1,10,νοῦσον ἀνὰ στρατὸν ὄρσε κακήν ὀλέκοντο δὲ λαοί
Il,1,11,οὕνεκα τὸν Χρύσην ἠτίμασεν ἀρητῆρα
Il,1,12,Ἀτρεΐδης ὃ γὰρ ἦλθε θοὰς ἐπὶ νῆας Ἀχαιῶν
Il,1,13,λυσόμενός τε θύγατρα φέρων τ’ἀπερείσι’ ἄποινα
Il,1,14,στέμματ’ ἔχων ἐν χερσὶν ἑκηβόλου Ἀπόλλωνος
Il,1,15,χρυσέῳ ἀνὰ σκήπτρῳ καὶ λίσσετο πάντας Ἀχαιούς
Il,1,16,Ἀτρεΐδα δὲ μάλιστα δύω κοσμήτορε λαῶν
Il,1,17,Ἀτρεΐδαι τε καὶ ἄλλοι ἐϋκνήμιδες Ἀχαιοί
Il,1,18,ὑμῖν μὲν θεοὶ δοῖεν Ὀλύμπια δώματ’ ἔχοντες
Il,1,19,ἐκπέρσαι Πριάμοιο πόλιν εὖ δ’οἴκαδ’ ἱκέσθαι
Il,1,20,παῖδα δ’ἐμοὶ λύσαιτε φίλην τὰ δ’ἄποινα δέχεσθαι
Il,1,21,ἁζόμενοι Διὸς υἱὸν ἑκηβόλον Ἀπόλλωνα
Il,1,22,ἔνθ’ ἄλλοι μὲν πάντες ἐπευφήμησαν Ἀχαιοὶ
Il,1,23,αἰδεῖσθαί θ’ἱερῆα καὶ ἀγλαὰ δέχθαι ἄποινα
Il,1,24,ἀλλ’ οὐκ Ἀτρεΐδῃ Ἀγαμέμνονι ἥνδανε θυμῷ
Il,1,25,ἀλλὰ κακῶς ἀφίει κρατερὸν δ’ἐπὶ μῦθον ἔτελλε
Il,1,26,μή σε γέρον κοίλῃσιν ἐγὼ παρὰ νηυσὶ κιχείω
Il,1,27,ἢ νῦν δηθύνοντ’ ἢ ὕστερον αὖτις ἰόντα
Il,1,28,μή νύ τοι οὐ χραίσμῃ σκῆπτρον καὶ στέμμα θεοῖο
Il,1,29,τὴν δ’ἐγὼ οὐ λύσω πρίν μιν καὶ γῆρας ἔπεισιν
Il,1,30,ἡμετέρῳ ἐνὶ οἴκῳ ἐν Ἄργεϊ τηλόθι πάτρης
Il,1,31,ἱστὸν ἐποιχομένην καὶ ἐμὸν λέχος ἀντιόωσαν
Il,1,32,ἀλλ’ ἴθι μή μ’ἐρέθιζε σαώτερος ὥς κε νέηαι
Il,1,33,ὣς ἔφατ’ ἔδεισεν δ’ὃ γέρων καὶ ἐπείθετο μύθῳ
Il,1,34,βῆ δ’ἀκέων παρὰ θῖνα πολυφλοίσβοιο θαλάσσης
Il,1,35,πολλὰ δ’ἔπειτ’ ἀπάνευθε κιὼν ἠρᾶθ’ ὃ γεραιὸς
Il,1,36,Ἀπόλλωνι ἄνακτι τὸν ἠΰκομος τέκε Λητώ
Il,1,37,κλῦθί μευ ἀργυρότοξ’ ὃς Χρύσην ἀμφιβέβηκας
Il,1,38,Κίλλάν τε ζαθέην Τενέδοιό τε ἶφι ἀνάσσεις
Il,1,39,Σμινθεῦ εἴ ποτέ τοι χαρίεντ’ ἐπὶ νηὸν ἔρεψα
Il,1,40,ἢ εἰ δή ποτέ τοι κατὰ πίονα μηρί’ ἔκηα
Il,1,41,ταύρων ἠδ’ αἰγῶν τὸ δέ μοι κρήηνον ἐέλδωρ
Il,1,42,τίσειαν Δαναοὶ ἐμὰ δάκρυα σοῖσι βέλεσσιν
Il,1,43,ὣς ἔφατ’ εὐχόμενος τοῦ δ’ἔκλυε Φοῖβος Ἀπόλλων
Il,1,44,βῆ δὲ κατ’ Οὐλύμποιο καρήνων χωόμενος κῆρ
