Book,Line,Word,Text,Length
23,1,1,ὣς,long
23,1,2,οἳ,long
23,1,3,μὲν,long
23,1,4,στε,short
23,1,4,νά,short
23,1,4,χο,long
23,1,4,ντο,short
23,1,5,κα,short
23,1,5,τὰ,long
23,1,6,πτό,short
23,1,6,λιν·,short
23,1,7,αὐ,long
23,1,7,τὰρ,short
23,1,8,Ἀ,short
23,1,8,χαι,long
23,1,8,οὶ,long
23,2,1,ἦ ἐ,long
23,2,2,πεὶ,long
23,2,3,δὴ,long
23,2,4,νῆ,long
23,2,4,ας,long
23,2,5,τε,short
23,2,6,καὶ,short
23,2,7,Ἑ,long
23,2,7,λλή,long
23,2,7,σπο,long
23,2,7,ντον,short
23,2,8,ἵ,short
23,2,8,κο,long
23,2,8,"ντο,",long
23,3,1,οἳ,long
23,3,2,μὲν,short
23,3,3,ἄρ’,short
23,3,4,ἐ,long
23,3,4,σκί,long
23,3,4,δνα,long
23,3,4,ντο,short
23,3,5,ἑ,short
23,3,5,ὴν,long
23,3,6,ἐ,short
23,3,6,πὶ,short
23,3,7,νῆ,long
23,3,7,α,short
23,3,8,ἕ,short
23,3,8,κα,long
23,3,8,"στος,",long
23,4,1,Μυ,long
23,4,1,ρμι,short
23,4,1,δό,short
23,4,1,νας,long
23,4,2,δ’οὐκ,long
23,4,3,εἴ,long
23,4,3,α ἀ,long
23,4,4,πο,long
23,4,4,σκί,long
23,4,4,δνα,long
23,4,4,σθαι,short
23,4,5,Ἀ,short
23,4,5,χι,long
23,4,5,"λλεύς,",long
23,5,1,ἀλλ’,long
23,5,2,ὅ,short
23,5,3,γε,short
23,5,4,οἷς,long
23,5,5,ἑ,short
23,5,5,τά,short
23,5,5,ροι,long
23,5,5,σι,short
23,5,6,φι,short
23,5,6,λο,long
23,5,6,πτο,short
23,5,6,λέ,short
23,5,6,μοι,long
23,5,6,σι,short
23,5,7,με,short
23,5,7,τηύ,long
23,5,7,δα·,long
23,6,1,Μυ,long
23,6,1,ρμι,short
23,6,1,δό,short
23,6,1,νες,long
23,6,2,τα,short
23,6,2,χύ,short
23,6,2,πω,long
23,6,2,λοι,short
23,6,3,ἐ,short
23,6,3,μοὶ,long
23,6,4,ἐ,short
23,6,4,ρί,short
23,6,4,η,long
23,6,4,ρες,short
23,6,5,ἑ,short
23,6,5,ταῖ,long
23,6,5,ροι,long
23,7,1,μὴ,long
23,7,2,δή,long
23,7,3,πω,long
23,7,4,ὑπ’,short
23,7,5,ὄ,short
23,7,5,χε,long
23,7,5,σφι,short
23,7,6,λυ,short
23,7,6,ώ,long
23,7,6,με,short
23,7,6,θα,short
23,7,7,μώ,long
23,7,7,νυ,short
23,7,7,χας,short
23,7,8,ἵ,long
23,7,8,"ππους,",long
23,8,1,ἀλλ’,long
23,8,2,αὐ,long
23,8,2,τοῖς,long
23,8,3,ἵ,long
23,8,3,πποι,long
23,8,3,σι,short
23,8,4,καὶ,short
23,8,5,ἅ,long
23,8,5,ρμα,short
23,8,5,σιν,short
23,8,6,ἆ,long
23,8,6,σσον,short
23,8,7,ἰ,short
23,8,7,ό,long
23,8,7,ντες,long
23,9,1,Πά,long
23,9,1,τρο,long
23,9,1,κλον,long
23,9,2,κλαί,long
23,9,2,ω,long
23,9,2,μεν·,short
23,9,3,ὃ,short
23,9,4,γὰρ,long
23,9,5,γέ,short
23,9,5,ρας,short
23,9,6,ἐ,long
23,9,6,στὶ,short
23,9,7,θα,short
23,9,7,νό,long
23,9,7,ντων.,long
23,10,1,αὐ,long
23,10,1,τὰρ,short
23,10,2,ἐ,short
23,10,2,πεί,long
23,10,3,κ’ὀ,short
23,10,3,λο,short
23,10,3,οῖ,long
23,10,3,ο,short
23,10,4,τε,short
23,10,4,τα,long
23,10,4,ρπώ,long
23,10,4,με,long
23,10,4,σθα,short
23,10,5,γό,short
23,10,5,οι,long
23,10,5,"ο,",long
23,11,1,ἵ,long
23,11,1,ππους,long
23,11,2,λυ,long
23,11,2,σά,short
23,11,2,με,short
23,11,2,νοι,long
23,11,3,δο,long
23,11,3,ρπή,long
23,11,3,σο,short
23,11,3,μεν,short
23,11,4,ἐ,long
23,11,4,νθά,short
23,11,4,δε,short
23,11,5,πά,long
23,11,5,ντες.,long
23,12,1,ὣς,long
23,12,2,ἔ,short
23,12,2,"φαθ’,",short
23,12,3,οἳ,long
23,12,4,δ’ᾤ,long
23,12,4,μω,long
23,12,4,ξαν,short
23,12,5,ἀ,short
23,12,5,ο,long
23,12,5,λλέ,short
23,12,5,"ες,",short
23,12,6,ἦ,long
23,12,6,ρχε,short
23,12,7,δ’Ἀ,short
23,12,7,χι,long
23,12,7,λλεύς.,long
23,13,1,οἳ,long
23,13,2,δὲ,long
23,13,3,τρὶς,long
23,13,4,πε,short
23,13,4,ρὶ,short
23,13,5,νε,long
23,13,5,κρὸν,short
23,13,6,ἐ,short
23,13,6,ΰ,long
23,13,6,τρι,short
23,13,6,χας,short
23,13,7,ἤ,long
23,13,7,λα,short
23,13,7,σαν,short
23,13,8,ἵ,long
23,13,8,ππους,long
23,14,1,μυ,long
23,14,1,ρό,short
23,14,1,με,short
23,14,1,νοι·,long
23,14,2,με,short
23,14,2,τὰ,short
23,14,3,δέ,long
23,14,4,σφι,short
23,14,5,Θέ,short
23,14,5,τις,long
23,14,6,γό,short
23,14,6,ου,short
23,14,7,ἵ,long
23,14,7,με,short
23,14,7,ρον,short
23,14,8,ὦ,long
23,14,8,ρσε.,long
23,15,1,δεύ,long
23,15,1,ο,long
23,15,1,ντο,long
23,15,2,ψά,short
23,15,2,μα,short
23,15,2,"θοι,",long
23,15,3,δεύ,long
23,15,3,ο,long
23,15,3,ντο,short
23,15,4,δὲ,short
23,15,5,τεύ,long
23,15,5,χε,short
23,15,5,α,short
23,15,6,φω,long
23,15,6,τῶν,long
23,16,1,δά,long
23,16,1,κρυ,short
23,16,1,σι·,short
23,16,2,τοῖ,long
23,16,2,ον,long
23,16,3,γὰρ,long
23,16,4,πό,short
23,16,4,θε,short
23,16,4,ον,long
23,16,5,μή,long
23,16,5,στω,long
23,16,5,ρα,short
23,16,6,φό,short
23,16,6,βοι,long
23,16,6,ο.,long
23,17,1,τοῖ,long
23,17,1,σι,short
23,17,2,δὲ,short
23,17,3,Πη,long
23,17,3,λε,short
23,17,3,ΐ,short
23,17,3,δης,long
23,17,4,ἁ,short
23,17,4,δι,short
23,17,4,νοῦ,long
23,17,5,ἐ,long
23,17,5,ξῆ,long
23,17,5,ρχε,short
23,17,6,γό,short
23,17,6,οι,long
23,17,6,ο,long
23,18,1,χεῖ,long
23,18,1,ρας,short
23,18,2,ἐπ’,short
23,18,3,ἀ,long
23,18,3,νδρο,short
23,18,3,φό,short
23,18,3,νους,long
23,18,4,θέ,short
23,18,4,με,short
23,18,4,νος,long
23,18,5,στή,long
23,18,5,θε,long
23,18,5,σσιν,short
23,18,6,ἑ,short
23,18,6,ταί,long
23,18,6,ρου·,long
23,19,1,χαῖ,long
23,19,1,ρέ,short
23,19,2,μοι,short
23,19,3,ὦ,long
23,19,4,Πά,long
23,19,4,τρο,long
23,19,4,κλε,short
23,19,5,καὶ,short
23,19,6,εἰν,long
23,19,7,Ἀ,short
23,19,7,ΐ,short
23,19,7,δα,long
23,19,7,ο,short
23,19,8,δό,short
23,19,8,μοι,long
23,19,8,σι·,long
23,20,1,πά,long
23,20,1,ντα,short
23,20,2,γὰρ,short
23,20,3,ἤ,long
23,20,3,δη,long
23,20,4,τοι,long
23,20,5,τε,short
23,20,5,λέ,short
23,20,5,ω,long
23,20,6,τὰ,short
23,20,7,πά,short
23,20,7,ροι,long
23,20,7,θεν,short
23,20,8,ὑ,short
23,20,8,πέ,long
23,20,8,στην,long
23,21,1,Ἕ,long
23,21,1,κτο,short
23,21,1,ρα,short
23,21,2,δεῦρ’,long
23,21,3,ἐ,short
23,21,3,ρύ,short
23,21,3,σας,long
23,21,4,δώ,long
23,21,4,σειν,long
23,21,5,κυ,short
23,21,5,σὶν,short
23,21,6,ὠ,long
23,21,6,μὰ,short
23,21,7,δά,short
23,21,7,σα,long
23,21,7,"σθαι,",long
23,22,1,δώ,long
23,22,1,δε,short
23,22,1,κα,short
23,22,2,δὲ,long
23,22,3,προ,short
23,22,3,πά,short
23,22,3,ροι,long
23,22,3,θε,short
23,22,4,πυ,short
23,22,4,ρῆς,long
23,22,5,ἀ,short
23,22,5,πο,short
23,22,5,δει,long
23,22,5,ρο,short
23,22,5,το,short
23,22,5,μή,long
23,22,5,σειν,long
23,23,1,Τρώ,long
23,23,1,ων,long
23,23,2,ἀ,long
23,23,2,γλα,short
23,23,2,ὰ,short
23,23,3,τέ,long
23,23,3,κνα,short
23,23,4,σέ,short
23,23,4,θεν,long
23,23,5,κτα,short
23,23,5,μέ,short
23,23,5,νοι,long
23,23,5,ο,short
23,23,6,χο,short
23,23,6,λω,long
23,23,6,θείς.,long
23,24,1,ἦ,long
23,24,2,ῥα,short
23,24,3,καὶ,short
23,24,4,Ἕ,long
23,24,4,κτο,short
23,24,4,ρα,short
23,24,5,δῖ,long
23,24,5,ον,short
23,24,6,ἀ,short
23,24,6,ει,long
23,24,6,κέ,short
23,24,6,α,short
23,24,7,μή,long
23,24,7,δε,short
23,24,7,το,short
23,24,8,ἔ,long
23,24,8,ργα,long
23,25,1,πρη,long
23,25,1,νέ,short
23,25,1,α,short
23,25,2,πὰρ,long
23,25,3,λε,short
23,25,3,χέ,short
23,25,3,ε,long
23,25,3,σσι,short
23,25,4,Με,short
23,25,4,νοι,long
23,25,4,τι,short
23,25,4,ά,short
23,25,4,δα,long
23,25,4,ο,short
23,25,5,τα,short
23,25,5,νύ,long
23,25,5,σσας,long
23,26,1,ἐν,long
23,26,2,κο,short
23,26,2,νί,short
23,26,2,ῃς·,long
23,26,3,οἳ,long
23,26,4,δ’ἔ,long
23,26,4,ντε’,short
23,26,5,ἀ,short
23,26,5,φω,long
23,26,5,πλί,long
23,26,5,ζο,long
23,26,5,ντο,short
23,26,6,ἕ,short
23,26,6,κα,long
23,26,6,στος,long
23,27,1,χά,long
23,27,1,λκε,short
23,27,1,α,short
23,27,2,μα,long
23,27,2,ρμαί,long
23,27,2,ρο,long
23,27,2,"ντα,",short
23,27,3,λύ,short
23,27,3,ον,long
23,27,4,δ’ὑ,long
23,27,4,ψη,long
23,27,4,χέ,short
23,27,4,ας,short
23,27,5,ἵ,long
23,27,5,"ππους,",long
23,28,1,κὰδ,long
23,28,2,δ’ἷ,long
23,28,2,ζον,long
23,28,3,πα,short
23,28,3,ρὰ,short
23,28,4,νη,long
23,28,4,ῒ,short
23,28,5,πο,short
23,28,5,δώ,long
23,28,5,κε,short
23,28,5,ος,short
23,28,6,Αἰ,long
23,28,6,α,short
23,28,6,κί,short
23,28,6,δα,long
23,28,6,ο,long
23,29,1,μυ,long
23,29,1,ρί,short
23,29,1,οι·,short
23,29,2,αὐ,long
23,29,2,τὰρ,short
23,29,3,ὃ,short
23,29,4,τοῖ,long
23,29,4,σι,short
23,29,5,τά,short
23,29,5,φον,long
23,29,6,με,short
23,29,6,νο,short
23,29,6,ει,long
23,29,6,κέ,short
23,29,6,α,short
23,29,7,δαί,long
23,29,7,νυ.,long
23,30,1,πο,long
23,30,1,λλοὶ,long
23,30,2,μὲν,long
23,30,3,βό,short
23,30,3,ες,short
23,30,4,ἀ,long
23,30,4,ργοὶ,short
23,30,5,ὀ,short
23,30,5,ρέ,long
23,30,5,χθε,short
23,30,5,ον,short
23,30,6,ἀ,long
23,30,6,μφὶ,short
23,30,7,σι,short
23,30,7,δή,long
23,30,7,ρῳ,long
23,31,1,σφα,long
23,31,1,ζό,short
23,31,1,με,short
23,31,1,"νοι,",long
23,31,2,πο,long
23,31,2,λλοὶ,long
23,31,3,δ’ὄ,short
23,31,3,ϊ,short
23,31,3,ες,long
23,31,4,καὶ,long
23,31,5,μη,long
23,31,5,κά,short
23,31,5,δες,short
23,31,6,αἶ,long
23,31,6,γες·,long
23,32,1,πο,long
23,32,1,λλοὶ,long
23,32,2,δ’ἀ,long
23,32,2,ργι,short
23,32,2,ό,short
23,32,2,δο,long
23,32,2,ντες,short
23,32,3,ὕ,short
23,32,3,ες,long
23,32,4,θα,short
23,32,4,λέ,short
23,32,4,θο,long
23,32,4,ντες,short
23,32,5,ἀ,short
23,32,5,λοι,long
23,32,5,φῇ,long
23,33,1,εὑ,long
23,33,1,ό,short
23,33,1,με,short
23,33,1,νοι,long
23,33,2,τα,short
23,33,2,νύ,short
23,33,2,ο,long
23,33,2,ντο,short
23,33,3,δι,short
23,33,3,ὰ,long
23,33,4,φλο,short
23,33,4,γὸς,short
23,33,5,Ἡ,long
23,33,5,φαί,long
23,33,5,στοι,long
23,33,5,ο·,long
23,34,1,πά,long
23,34,1,ντῃ,long
23,34,2,δ’ἀ,long
23,34,2,μφὶ,short
23,34,3,νέ,short
23,34,3,κυν,long
23,34,4,κο,short
23,34,4,τυ,short
23,34,4,λή,long
23,34,4,ρυ,short
23,34,4,τον,short
23,34,5,ἔ,long
23,34,5,ρρε,short
23,34,5,εν,short
23,34,6,αἷ,long
23,34,6,μα.,long
23,35,1,αὐ,long
23,35,1,τὰρ,long
23,35,2,τόν,long
23,35,3,γε,short
23,35,4,ἄ,short
23,35,4,να,long
23,35,4,κτα,short
23,35,5,πο,short
23,35,5,δώ,long
23,35,5,κε,short
23,35,5,α,short
23,35,6,Πη,long
23,35,6,λε,short
23,35,6,ΐ,short
23,35,6,ω,long
23,35,6,να,long
23,36,1,εἰς,long
23,36,2,Ἀ,short
23,36,2,γα,short
23,36,2,μέ,long
23,36,2,μνο,short
23,36,2,να,short
23,36,3,δῖ,long
23,36,3,ον,short
23,36,4,ἄ,short
23,36,4,γον,long
23,36,5,βα,short
23,36,5,σι,short
23,36,5,λῆ,long
23,36,5,ες,short
23,36,6,Ἀ,short
23,36,6,χαι,long
23,36,6,ῶν,long
23,37,1,σπου,long
23,37,1,δῇ,long
23,37,2,πα,long
23,37,2,ρπε,short
23,37,2,πι,short
23,37,2,θό,long
23,37,2,ντες,short
23,37,3,ἑ,short
23,37,3,ταί,long
23,37,3,ρου,long
23,37,4,χω,long
23,37,4,ό,short
23,37,4,με,short
23,37,4,νον,long
23,37,5,κῆρ.,long
23,38,1,οἳ,long
23,38,2,δ’ὅ,short
23,38,2,τε,short
23,38,3,δὴ,long
23,38,4,κλι,short
23,38,4,σί,short
23,38,4,ην,long
23,38,5,Ἀ,short
23,38,5,γα,short
23,38,5,μέ,long
23,38,5,μνο,short
23,38,5,νος,short
23,38,6,ἷ,long
23,38,6,ξον,short
23,38,7,ἰ,short
23,38,7,ό,long
23,38,7,"ντες,",long
23,39,1,αὐ,long
23,39,1,τί,short
23,39,1,κα,short
23,39,2,κη,long
23,39,2,ρύ,long
23,39,2,κε,long
23,39,2,σσι,short
23,39,3,λι,short
23,39,3,γυ,long
23,39,3,φθό,long
23,39,3,γγοι,long
23,39,3,σι,short
23,39,4,κέ,short
23,39,4,λευ,long
23,39,4,σαν,long
23,40,1,ἀ,long
23,40,1,μφὶ,short
23,40,2,πυ,short
23,40,2,ρὶ,long
23,40,3,στῆ,long
23,40,3,σαι,long
23,40,4,τρί,short
23,40,4,πο,short
23,40,4,δα,long
23,40,5,μέ,short
23,40,5,"γαν,",short
23,40,6,εἰ,long
23,40,7,πε,short
23,40,7,πί,short
23,40,7,θοι,long
23,40,7,εν,long
23,41,1,Πη,long
23,41,1,λε,short
23,41,1,ΐ,short
23,41,1,δην,long
23,41,2,λού,long
23,41,2,σα,long
23,41,2,σθαι,short
23,41,3,ἄ,short
23,41,3,πο,long
23,41,4,βρό,short
23,41,4,τον,short
23,41,5,αἱ,long
23,41,5,μα,short
23,41,5,τό,short
23,41,5,ε,long
23,41,5,ντα.,long
23,42,1,αὐ,long
23,42,1,τὰρ,short
23,42,2,ὅ,short
23,42,3,γ’ἠ,long
23,42,3,ρνεῖ,long
23,42,3,το,long
23,42,4,στε,short
23,42,4,ρε,short
23,42,4,"ῶς,",long
23,42,5,ἐ,short
23,42,5,πὶ,short
23,42,6,δ’ὅ,long
23,42,6,ρκον,short
23,42,7,ὄ,short
23,42,7,μο,long
23,42,7,σσεν·,long
23,43,1,οὐ,long
23,43,2,μὰ,long
23,43,3,"Ζῆν’,",long
23,43,4,ὅς,long
23,43,5,τίς,long
23,43,6,τε,short
23,43,7,θε,short
23,43,7,ῶν,long
23,43,8,ὕ,short
23,43,8,πα,short
23,43,8,τος,long
23,43,9,καὶ,short
23,43,10,ἄ,short
23,43,10,ρι,long
23,43,10,"στος,",long
23,44,1,οὐ,long
23,44,2,θέ,short
23,44,2,μις,short
23,44,3,ἐ,long
23,44,3,στὶ,short
23,44,4,λο,short
23,44,4,ε,long
23,44,4,τρὰ,short
