Book,Line,Word,Text,Length
2,1,1,ἦμ,long
2,1,1,ος,long
2,1,2,δ’ἠρ,long
2,1,2,ιγ,short
2,1,2,έν,short
2,1,2,ει,long
2,1,2,α,short
2,1,3,φάν,short
2,1,3,η,long
2,1,4,ῥοδ,short
2,1,4,οδ,short
2,1,4,άκτ,long
2,1,4,υλ,short
2,1,4,ος,short
2,1,5,Ἠ,long
2,1,5,"ώς,",long
2,2,1,ὤρν,long
2,2,1,υτ’,short
2,2,2,ἄρ’,short
2,2,3,ἐξ,long
2,2,4,εὐν,long
2,2,4,ῆφ,long
2,2,4,ιν,short
2,2,5,Ὀδ,short
2,2,5,υσσ,long
2,2,5,ῆ,long
2,2,5,ος,long
2,2,6,φίλ,short
2,2,6,ος,short
2,2,7,υἱ,long
2,2,7,ὸς,long
2,3,1,εἵμ,long
2,3,1,ατ,short
2,3,1,α,short
2,3,2,ἑσσ,long
2,3,2,άμ,short
2,3,2,εν,short
2,3,2,"ος,",long
2,3,3,περ,short
2,3,3,ὶ,short
2,3,4,δὲ,long
2,3,5,ξίφ,short
2,3,5,ος,short
2,3,6,ὀξ,long
2,3,6,ὺ,short
2,3,7,θέτ’,short
2,3,8,ὤμ,long
2,3,8,"ῳ,",long
2,4,1,ποσσ,long
2,4,1,ὶ,short
2,4,2,δ’ὑπ,short
2,4,2,ὸ,long
2,4,3,λιπ,short
2,4,3,αρ,short
2,4,3,οῖσ,long
2,4,3,ιν,short
2,4,4,ἐδ,short
2,4,4,ήσ,long
2,4,4,ατ,short
2,4,4,ο,short
2,4,5,καλ,long
2,4,5,ὰ,short
2,4,6,πέδ,short
2,4,6,ιλ,long
2,4,6,"α,",long
2,5,1,βῆ,long
2,5,2,δ’ἴμ,short
2,5,2,εν,short
2,5,3,ἐκ,long
2,5,4,θαλ,short
2,5,4,άμ,short
2,5,4,οι,long
2,5,4,ο,short
2,5,5,θε,short
2,5,5,ῷ,long
2,5,6,ἐν,short
2,5,6,αλ,short
2,5,6,ίγκ,long
2,5,6,ι,short
2,5,6,ος,short
2,5,7,ἄντ,long
2,5,7,ην.,long
2,6,1,αἶψ,long
2,6,1,α,short
2,6,2,δὲ,short
2,6,3,κηρ,long
2,6,3,ύκ,long
2,6,3,εσσ,long
2,6,3,ι,short
2,6,4,λιγ,short
2,6,4,υφθ,long
2,6,4,όγγ,long
2,6,4,οισ,long
2,6,4,ι,short
2,6,5,κέλ,short
2,6,5,ευσ,long
2,6,5,ε,long
2,7,1,κηρ,long
2,7,1,ύσσ,long
2,7,1,ειν,long
2,7,2,ἀγ,short
2,7,2,ορ,short
2,7,2,ήνδ,long
2,7,2,ε,short
2,7,3,κάρ,short
2,7,3,η,long
2,7,4,κομ,short
2,7,4,ό,short
2,7,4,ωντ,long
2,7,4,ας,short
2,7,5,Ἀχ,short
2,7,5,αι,long
2,7,5,ούς.,long
2,8,1,οἱ,long
2,8,2,μὲν,short
2,8,3,ἐκ,short
2,8,3,ήρ,long
2,8,3,υσσ,long
2,8,3,"ον,",long
2,8,4,τοὶ,long
2,8,5,δ’ἠγ,long
2,8,5,είρ,long
2,8,5,οντ,long
2,8,5,ο,short
2,8,6,μάλ’,short
2,8,7,ὦκ,long
2,8,7,α.,long
2,9,1,αὐτ,long
2,9,1,ὰρ,short
2,9,2,ἐπ,short
2,9,2,εί,long
2,9,3,ῥ’ἤγ,long
2,9,3,ερθ,long
2,9,3,εν,short
2,9,4,ὁμ,short
2,9,4,ηγ,long
2,9,4,ερ,short
2,9,4,έ,short
2,9,4,ες,long
2,9,5,τ’ἐγ,short
2,9,5,έν,short
2,9,5,οντ,long
2,9,5,"ο,",long
2,10,1,βῆ,long
2,10,2,ῥ’ἴμ,short
2,10,2,εν,short
2,10,3,εἰς,long
2,10,4,ἀγ,short
2,10,4,ορ,short
2,10,4,"ήν,",long
2,10,5,παλ,short
2,10,5,άμ,short
2,10,5,ῃ,long
2,10,6,δ’ἔχ,short
2,10,6,ε,short
2,10,7,χάλκ,long
2,10,7,ε,short
2,10,7,ον,short
2,10,8,ἔγχ,long
2,10,8,"ος,",long
2,11,1,οὐκ,long
2,11,2,οἶ,long
2,11,2,"ος,",long
2,11,3,ἅμ,short
2,11,3,α,short
2,11,4,τῷ,long
2,11,5,γε,short
2,11,6,δύ,short
2,11,6,ω,long
2,11,7,κύν,short
2,11,7,ες,short
2,11,8,ἀργ,long
2,11,8,οὶ,short
2,11,9,ἕπ,short
2,11,9,οντ,long
2,11,9,ο.,long
2,12,1,θεσπ,long
2,12,1,εσ,short
2,12,1,ί,short
2,12,1,ην,long
2,12,2,δ’ἄρ,short
2,12,2,α,short
2,12,3,τῷ,long
2,12,4,γε,short
2,12,5,χάρ,short
2,12,5,ιν,long
2,12,6,κατ,short
2,12,6,έχ,short
2,12,6,ευ,long
2,12,6,εν,short
2,12,7,Ἀθ,short
2,12,7,ήν,long
2,12,7,η.,long
2,13,1,τὸν,long
2,13,2,δ’ἄρ,short
2,13,2,α,short
2,13,3,πάντ,long
2,13,3,ες,long
2,13,4,λα,long
2,13,4,οὶ,short
2,13,5,ἐπ,short
2,13,5,ερχ,long
2,13,5,όμ,short
2,13,5,εν,short
2,13,5,ον,long
2,13,6,θη,long
2,13,6,εῦντ,long
2,13,6,ο·,long
2,14,1,ἕζ,long
2,14,1,ετ,short
2,14,1,ο,short
2,14,2,δ’ἐν,long
2,14,3,πατρ,long
2,14,3,ὸς,long
2,14,4,θώκ,long
2,14,4,"ῳ,",long
2,14,5,εἶξ,long
2,14,5,αν,long
2,14,6,δὲ,short
2,14,7,γέρ,short
2,14,7,οντ,long
2,14,7,ες.,long
2,15,1,τοῖσ,long
2,15,1,ι,short
2,15,2,δ’ἔπ,short
2,15,2,ειθ’,long
2,15,3,ἥρ,long
2,15,3,ως,long
2,15,4,Αἰγ,long
2,15,4,ύπτ,long
2,15,4,ι,short
2,15,4,ος,short
2,15,5,ἦρχ’,long
2,15,6,ἀγ,short
2,15,6,ορ,short
2,15,6,εύ,long
2,15,6,"ειν,",long
2,16,1,ὃς,long
2,16,2,δὴ,long
2,16,3,γήρ,long
2,16,3,α,short
2,16,3,ϊ,short
2,16,4,κυφ,long
2,16,4,ὸς,short
2,16,5,ἔ,short
2,16,5,ην,long
2,16,6,καὶ,long
2,16,7,μυρ,long
2,16,7,ί,short
2,16,7,α,short
2,16,8,ᾔδ,long
2,16,8,η.,long
2,17,1,καὶ,long
2,17,2,γὰρ,long
2,17,3,τοῦ,long
2,17,4,φίλ,short
2,17,4,ος,short
2,17,5,υἱ,long
2,17,5,ὸς,short
2,17,6,ἅμ’,short
2,17,7,ἀντ,long
2,17,7,ιθ,short
2,17,7,έ,short
2,17,7,ῳ,long
2,17,8,Ὀδ,short
2,17,8,υσ,short
2,17,8,ῆ,long
2,17,8,ι,long
2,18,1,Ἴλ,long
2,18,1,ι,short
2,18,1,ον,short
2,18,2,εἰς,long
2,18,3,ἐ,short
2,18,3,ύπ,short
2,18,3,ωλ,long
2,18,3,ον,short
2,18,4,ἔβ,short
2,18,4,η,long
2,18,5,κοίλ,long
2,18,5,ῃς,long
2,18,6,ἐν,short
2,18,6,ὶ,short
2,18,7,νηυσ,long
2,18,7,"ίν,",long
