Book,Line,Word,Text,Length
22,1,1,ὣς,long
22,1,2,οἳ,long
22,1,3,μὲν,long
22,1,4,κα,short
22,1,4,τὰ,short
22,1,5,ἄ,long
22,1,5,στυ,short
22,1,6,πε,short
22,1,6,φυ,long
22,1,6,ζό,short
22,1,6,τες,short
22,1,7,ἠ,long
22,1,7,ΰ,short
22,1,7,τε,short
22,1,8,νε,long
22,1,8,βροὶ,long
22,2,1,ἱ,long
22,2,1,δρῶ,short
22,2,2,ἀ,short
22,2,2,πε,long
22,2,2,ψύ,long
22,2,2,χον,long
22,2,2,το,short
22,2,3,πί,short
22,2,3,ον,long
22,2,4,τ’ἀ,short
22,2,4,κέ,short
22,2,4,ον,long
22,2,4,τό,short
22,2,5,τε,short
22,2,6,δί,long
22,2,6,ψαν,long
22,3,1,κε,long
22,3,1,κλι,short
22,3,1,μέ,short
22,3,1,νοι,long
22,3,2,κα,long
22,3,2,λῇ,long
22,3,2,σιν,short
22,3,3,ἐ,short
22,3,3,πάλ,long
22,3,3,ξε,short
22,3,3,σιν·,short
22,3,4,αὐ,long
22,3,4,τὰρ,short
22,3,5,Ἀ,short
22,3,5,χαι,long
22,3,5,οὶ,long
22,4,1,τεί,long
22,4,1,χε,short
22,4,1,ος,short
22,4,2,ἆσ,long
22,4,2,σον,short
22,4,3,ἴ,short
22,4,3,σαν,long
22,4,4,σά,short
22,4,4,κε’,short
22,4,5,ὤ,long
22,4,5,μοι,long
22,4,5,σι,long
22,4,6,κλί,long
22,4,6,ναν,long
22,4,6,τες.,long
22,5,1,Ἕ,long
22,5,1,κτο,short
22,5,1,ρα,short
22,5,2,δ’αὐ,long
22,5,2,τοῦ,long
22,5,3,μεῖ,long
22,5,3,ναι,short
22,5,4,ὀ,short
22,5,4,λοι,long
22,5,4,ὴ,long
22,5,5,μοῖ,long
22,5,5,ρα,short
22,5,6,πέ,short
22,5,6,δη,long
22,5,6,σεν,long
22,6,1,Ἰ,long
22,6,1,λί,long
22,6,1,ου,long
22,6,2,προ,short
22,6,2,πά,short
22,6,2,ροι,long
22,6,2,θε,short
22,6,3,πυ,short
22,6,3,λά,long
22,6,3,ων,long
22,6,4,τε,long
22,6,5,Σκαι,long
22,6,5,ά,long
22,6,5,ων.,long
22,7,1,αὐ,long
22,7,1,τὰρ,long
22,7,2,Πη,long
22,7,2,λεί,long
22,7,2,ω,long
22,7,2,να,short
22,7,3,προ,short
22,7,3,σηύ,long
22,7,3,δα,long
22,7,4,Φοῖ,long
22,7,4,βος,short
22,7,5,Ἀ,short
22,7,5,πόλ,long
22,7,5,λων·,long
22,8,1,τίπ,long
22,8,1,τέ,short
22,8,2,με,short
22,8,3,Πη,long
22,8,3,λέ,short
22,8,3,ος,short
22,8,4,υἱ,long
22,8,4,ὲ,short
22,8,5,πο,short
22,8,5,σὶν,long
22,8,6,τα,short
22,8,6,χέ,short
22,8,6,εσ,long
22,8,6,σι,short
22,8,7,δι,short
22,8,7,ώ,long
22,8,7,κεις,long
22,9,1,αὐ,long
22,9,1,τὸς,long
22,9,2,θνη,long
22,9,2,τὸς,short
22,9,3,ἐ,short
22,9,3,ὼν,long
22,9,4,θε,short
22,9,4,ὸν,short
22,9,5,ἄμ,long
22,9,5,βρο,short
22,9,5,τον;,short
22,9,6,οὐ,long
22,9,6,δέ,short
22,9,7,νύ,short
22,9,8,πώ,long
22,9,9,με,long
22,10,1,ἔγ,long
22,10,1,νως,long
22,10,2,ὡς,long
22,10,3,θε,short
22,10,3,ός,short
22,10,4,εἰ,long
22,10,4,"μι,",short
22,10,5,σὺ,short
22,10,6,δ’ἀ,long
22,10,6,σπερ,long
22,10,6,χὲς,long
22,10,7,με,short
22,10,7,νε,short
22,10,7,αί,long
22,10,7,νεις.,long
22,11,1,ἦ,long
22,11,2,νύ,short
22,11,3,τοι,short
22,11,4,οὔ,long
22,11,5,τι,short
22,11,6,μέ,short
22,11,6,λει,long
22,11,7,Τρώ,long
22,11,7,ων,long
22,11,8,πό,short
22,11,8,"νος,",short
22,11,9,οὓς,long
22,11,10,ἐ,short
22,11,10,φό,short
22,11,10,βη,long
22,11,10,"σας,",long
22,12,1,οἳ,long
22,12,2,δή,long
22,12,3,τοι,long
22,12,4,εἰς,long
22,12,5,ἄ,long
22,12,5,στυ,short
22,12,6,ἄ,short
22,12,6,"λεν,",long
22,12,7,σὺ,short
22,12,8,δὲ,short
22,12,9,δεῦ,long
22,12,9,ρο,short
22,12,10,λι,short
22,12,10,άσ,long
22,12,10,θης.,long
22,13,1,οὐ,long
22,13,2,μέν,long
22,13,3,με,long
22,13,4,κτε,short
22,13,4,νέ,short
22,13,4,"εις,",long
22,13,5,ἐ,short
22,13,5,πεὶ,short
22,13,6,οὔ,long
22,13,7,τοι,long
22,13,8,μόρ,long
22,13,8,σι,short
22,13,8,μός,short
22,13,9,εἰ,long
22,13,9,μι.,long
22,14,1,τὸν,long
22,14,2,δὲ,short
22,14,3,μέγ’,short
22,14,4,ὀχ,long
22,14,4,θή,long
22,14,4,σας,long
22,14,5,προ,short
22,14,5,σέ,short
22,14,5,φη,long
22,14,6,πό,short
22,14,6,δας,short
22,14,7,ὠ,long
22,14,7,κὺς,short
22,14,8,Ἀ,short
22,14,8,χιλ,long
22,14,8,λεύς·,long
22,15,1,ἔ,long
22,15,1,βλα,long
22,15,1,ψάς,long
22,15,2,μ’ἑ,short
22,15,2,κά,short
22,15,2,ερ,long
22,15,2,γε,short
22,15,3,θε,short
22,15,3,ῶν,long
22,15,4,ὀ,short
