Book,Line,Word,Text,Length
9,1,1,τὸν,long
9,1,2,δ’ἀπ,short
9,1,2,αμ,short
9,1,2,ειβ,long
9,1,2,όμ,short
9,1,2,εν,short
9,1,2,ος,long
9,1,3,προσ,short
9,1,3,έφ,short
9,1,3,η,long
9,1,4,πολ,short
9,1,4,ύμ,short
9,1,4,ητ,long
9,1,4,ις,short
9,1,5,Ὀδ,short
9,1,5,υσσ,long
9,1,5,εύς·,long
9,2,1,Ἀλκ,long
9,2,1,ίν,short
9,2,1,ο,short
9,2,1,ε,long
9,2,2,κρεῖ,long
9,2,2,"ον,",long
9,2,3,πάντ,long
9,2,3,ων,long
9,2,4,ἀρ,short
9,2,4,ιδ,short
9,2,4,είκ,long
9,2,4,ετ,short
9,2,4,ε,short
9,2,5,λα,long
9,2,5,"ῶν,",long
9,3,1,ἤτ,long
9,3,1,οι,long
9,3,2,μὲν,long
9,3,3,τόδ,short
9,3,3,ε,short
9,3,4,καλ,long
9,3,4,ὸν,short
9,3,5,ἀκ,short
9,3,5,ου,long
9,3,5,έμ,short
9,3,5,εν,short
9,3,6,ἐστ,long
9,3,6,ὶν,short
9,3,7,ἀ,short
9,3,7,οιδ,long
9,3,7,οῦ,long
9,4,1,τοι,long
9,4,1,οῦδ’,long
9,4,2,οἷ,long
9,4,2,ος,short
9,4,3,ὅδ’,short
9,4,4,ἐστ,long
9,4,4,"ί,",short
9,4,5,θε,short
9,4,5,οῖς,long
9,4,6,ἐν,short
9,4,6,αλ,short
9,4,6,ίγκ,long
9,4,6,ι,short
9,4,6,ος,short
9,4,7,αὐδ,long
9,4,7,ήν.,long
9,5,1,οὐ,long
9,5,2,γὰρ,short
9,5,3,ἔγ,short
9,5,3,ωγ,long
9,5,3,έ,short
9,5,4,τί,short
9,5,5,φημ,long
9,5,5,ι,short
9,5,6,τέλ,short
9,5,6,ος,long
9,5,7,χαρ,short
9,5,7,ι,short
9,5,7,έστ,long
9,5,7,ερ,short
9,5,7,ον,short
9,5,8,εἶν,long
9,5,8,αι,long
9,6,1,ἢ,long
9,6,2,ὅτ’,short
9,6,3,ἐ,short
9,6,3,ϋφρ,long
9,6,3,οσ,short
9,6,3,ύν,short
9,6,3,η,long
9,6,4,μὲν,short
9,6,5,ἔχ,short
9,6,5,ῃ,long
9,6,6,κάτ,short
9,6,6,α,short
9,6,7,δῆμ,long
9,6,7,ον,short
9,6,8,ἅπ,short
9,6,8,αντ,long
9,6,8,"α,",long
9,7,1,δαιτ,long
9,7,1,υμ,short
9,7,1,όν,short
9,7,1,ες,long
9,7,2,δ’ἀν,short
9,7,2,ὰ,short
9,7,3,δώμ,long
9,7,3,ατ’,short
9,7,4,ἀκ,short
9,7,4,ου,long
9,7,4,άζ,long
9,7,4,ωντ,long
9,7,4,αι,short
9,7,5,ἀ,short
9,7,5,οιδ,long
9,7,5,οῦ,long
9,8,1,ἥμ,long
9,8,1,εν,short
9,8,1,οι,short
9,8,2,ἑξ,long
9,8,2,εί,long
9,8,2,"ης,",long
9,8,3,παρ,short
9,8,3,ὰ,short
9,8,4,δὲ,long
9,8,5,πλήθ,long
9,8,5,ωσ,long
9,8,5,ι,short
9,8,6,τράπ,short
9,8,6,εζ,long
9,8,6,αι,long
9,9,1,σίτ,long
9,9,1,ου,long
9,9,2,καὶ,long
9,9,3,κρει,long
9,9,3,"ῶν,",long
9,9,4,μέθ,short
9,9,4,υ,short
9,9,5,δ’ἐκ,long
9,9,6,κρητ,long
9,9,6,ῆρ,long
9,9,6,ος,short
9,9,7,ἀφ,short
9,9,7,ύσσ,long
9,9,7,ων,long
9,10,1,οἰν,long
9,10,1,οχ,short
9,10,1,ό,short
9,10,1,ος,long
9,10,2,φορ,short
9,10,2,έ,short
9,10,2,ῃσ,long
9,10,2,ι,short
9,10,3,καὶ,short
9,10,4,ἐγχ,long
9,10,4,εί,long
9,10,4,ῃ,long
9,10,5,δεπ,short
9,10,5,ά,short
9,10,5,εσσ,long
9,10,5,ι·,long
9,11,1,τοῦτ,long
9,11,1,ό,short
9,11,2,τί,short
9,11,3,μοι,long
9,11,4,κάλλ,long
9,11,4,ιστ,long
9,11,4,ον,short
9,11,5,ἐν,short
9,11,5,ὶ,long
9,11,6,φρεσ,short
9,11,6,ὶν,short
9,11,7,εἴδ,long
9,11,7,ετ,short
9,11,7,αι,short
9,11,8,εἶν,long
9,11,8,αι.,long
9,12,1,σοὶ,long
9,12,2,δ’ἐμ,short
9,12,2,ὰ,short
9,12,3,κήδ,long
9,12,3,ε,short
9,12,3,α,short
9,12,4,θυμ,long
9,12,4,ὸς,short
9,12,5,ἐπ,short
9,12,5,ετρ,long
9,12,5,άπ,short
9,12,5,ετ,short
9,12,5,ο,long
9,12,6,στον,short
9,12,6,ό,short
9,12,6,εντ,long
9,12,6,α,long
9,13,1,εἴρ,long
9,13,1,"εσθ’,",long
9,13,2,ὄφρ’,long
9,13,3,ἔτ,short
9,13,3,ι,short
9,13,4,μᾶλλ,long
9,13,4,ον,short
9,13,5,ὀδ,short
9,13,5,υρ,long
9,13,5,όμ,short
9,13,5,εν,short
9,13,5,ος,long
9,13,6,στεν,short
9,13,6,αχ,short
9,13,6,ίζ,long
9,13,6,ω·,long
9,14,1,τί,long
9,14,2,πρῶτ,long
9,14,2,όν,long
9,14,3,τοι,short
9,14,4,ἔπ,short
9,14,4,ειτ,long
9,14,4,"α,",short
9,14,5,τί,short
9,14,6,δ’ὑστ,long
9,14,6,άτ,short
9,14,6,ι,short
9,14,6,ον,long
9,14,7,κατ,short
9,14,7,αλ,short
9,14,7,έξ,long
9,14,7,ω;,long
9,15,1,κήδ,long
9,15,1,ε’,short
9,15,2,ἐπ,short
9,15,2,εί,long
9,15,3,μοι,long
9,15,4,πολλ,long
9,15,4,ὰ,short
9,15,5,δόσ,short
9,15,5,αν,long
9,15,6,θε,short
9,15,6,οὶ,short
9,15,7,Οὐρ,long
9,15,7,αν,short
9,15,7,ί,short
9,15,7,ων,long
9,15,7,ες.,long
9,16,1,νῦν,long
9,16,2,δ’ὄν,short
9,16,2,ομ,short
9,16,2,α,long
9,16,3,πρῶτ,long
9,16,3,ον,long
9,16,4,μυθ,long
9,16,4,ήσ,long
9,16,4,ομ,short
9,16,4,"αι,",short
9,16,5,ὄφρ,long
9,16,5,α,short
9,16,6,καὶ,short
9,16,7,ὑμ,long
9,16,7,εῖς,long
9,17,1,εἴδ,long
9,17,1,"ετ’,",short
9,17,2,ἐγ,short
9,17,2,ὼ,long
9,17,3,δ’ἂν,short
9,17,4,ἔπ,short
9,17,4,ειτ,long
9,17,4,α,short
9,17,5,φυγ,short
9,17,5,ὼν,long
9,17,6,ὕπ,short
9,17,6,ο,short
9,17,7,νηλ,long
9,17,7,ε,short
9,17,7,ὲς,short
9,17,8,ἦμ,long
9,17,8,αρ,long
9,18,1,ὑμ,long
9,18,1,ῖν,long
9,18,2,ξεῖν,long
9,18,2,ος,short
9,18,3,ἔ,short
9,18,3,ω,long
9,18,4,καὶ,short
9,18,5,ἀπ,short
9,18,5,όπρ,long
9,18,5,οθ,short
9,18,5,ι,short
9,18,6,δώμ,long
9,18,6,ατ,short
9,18,6,α,short
9,18,7,ναί,long
9,18,7,ων.,long
9,19,1,εἴμ’,long
9,19,2,Ὀδ,short
9,19,2,υσ,short
9,19,2,εὺς,long
9,19,3,Λα,long
9,19,3,ερτ,long
9,19,3,ι,short
9,19,3,άδ,short
9,19,3,"ης,",long
9,19,4,ὃς,long
9,19,5,πᾶσ,long
9,19,5,ι,short
9,19,6,δόλ,short
9,19,6,οισ,long
9,19,6,ιν,long
9,20,1,ἀνθρ,long
9,20,1,ώπ,long
9,20,1,οισ,long
9,20,1,ι,short
9,20,2,μέλ,short
9,20,2,"ω,",long
9,20,3,καί,long
9,20,4,μευ,long
9,20,5,κλέ,short
9,20,5,ος,short
9,20,6,οὐρ,long
9,20,6,αν,short
9,20,6,ὸν,short
9,20,7,ἵκ,long
9,20,7,ει.,long
9,21,1,ναι,long
9,21,1,ετ,short
9,21,1,ά,short
9,21,1,ω,long
9,21,2,δ’Ἰθ,short
9,21,2,άκ,short
9,21,2,ην,long
9,21,3,εὐδ,long
9,21,3,εί,long
9,21,3,ελ,short
9,21,3,ον·,short
9,21,4,ἐν,long
9,21,5,δ’ὄρ,short
9,21,5,ος,short
9,21,6,αὐτ,long
9,21,6,ῇ,long
9,22,1,Νήρ,long
9,22,1,ιτ,short
9,22,1,ον,short
9,22,2,εἰν,long
9,22,2,οσ,short
9,22,2,ίφ,short
9,22,2,υλλ,long
9,22,2,"ον,",short
9,22,3,ἀρ,short
9,22,3,ιπρ,long
9,22,3,επ,short
9,22,3,ές·,short
9,22,4,ἀμφ,long
9,22,4,ὶ,short
9,22,5,δὲ,short
9,22,6,νῆσ,long
9,22,6,οι,long
9,23,1,πολλ,long
9,23,1,αὶ,long
9,23,2,ναι,long
9,23,2,ετ,short
